"Customweb_SaferpayCw::* Required Fields","* Erforderliche Felder"
"Customweb_SaferpayCw::Send invoice email","Rechnungsmail versenden"
"Customweb_SaferpayCw::Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Customweb_SaferpayCw::Server responded '!response'","Serverantwort: '!response'"
"Customweb_SaferpayCw::Server responded with unexpected headers '!response'","Der Server hat mit einem ungewöhnlichen Header geantwortet '!response'"
"Customweb_SaferpayCw::Session timed out, please try again.","Sitzung abgelaufen, versuchen Sie es bitte erneut."
"Customweb_SaferpayCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Customweb_SaferpayCw::Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Customweb_SaferpayCw::Settlement after order","Erstellung nach der Bestellung"
"Customweb_SaferpayCw::Shipping & Handling","Shipping & Handling"
"Customweb_SaferpayCw::Shipping Address","Lieferadresse"
"Customweb_SaferpayCw::Shipping Amount","Lieferkosten"
"Customweb_SaferpayCw::Shipping Information","Versandinformationen"
"Customweb_SaferpayCw::Shipping Method","Versandmethode"
"Customweb_SaferpayCw::Shipping Methods","Versandmethoden"
"Customweb_SaferpayCw::Shipping Refund","Rückerstattung der Lieferkosten"
"Customweb_SaferpayCw::Shipping address of this transaction and initial alias transaction do not match.","Die Lieferadresse dieser Transaktion stimmt nicht mit der Alias Ausgangstransaktion überein."
"Customweb_SaferpayCw::Shop","Shop"
"Customweb_SaferpayCw::Should Saferpay display a field requesting the card holder name on their page?","Soll Saferpay ein Feld anzeigen, das den Namen des Karteninhabers auf seiner Seite anfordert?"
"Customweb_SaferpayCw::Should Saferpay send a confirmation email to the customer. (Available only if the customer is redirected to Saferpay.)","Soll Saferpay eine Bestätigungsemail nach dem Kauf an den Kunden senden? (Nur möglich, falls der Kunde zu Saferpay weitergeleitet wird)."
"Customweb_SaferpayCw::Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Soll der Betrag nach der Bestellung automatisch abgesendet (direkt) oder nur reserviert werden (verzögert)?"
"Customweb_SaferpayCw::Should the billing address be sent to Saferpay?","Soll die Rechnungsadresse an ____paymentServiceProviderName__ gesendet werden?"
"Customweb_SaferpayCw::Should the customer address be sent to Saferpay?","Soll die Kundenandresse an Saferpay gesendet werden?."
"Customweb_SaferpayCw::Show","Anzeigen"
"Customweb_SaferpayCw::Show Account Selection","Account-Auswahl anzeigen"
"Customweb_SaferpayCw::Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Customweb_SaferpayCw::Show Image","Bild anzeigen"
"Customweb_SaferpayCw::Show Payment Id","Payment ID anzeigen"
"Customweb_SaferpayCw::Show the payment id","Anzeigen der Zahlungs ID"
"Customweb_SaferpayCw::Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Customweb_SaferpayCw::Show the payment image","Anzeigen der Zahlungslogos"
"Customweb_SaferpayCw::Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Customweb_SaferpayCw::Sign In","Anmelden"
"Customweb_SaferpayCw::Six","Six"
"Customweb_SaferpayCw::Social Security Number","Sozialversicherungsnummer"
"Customweb_SaferpayCw::Sort Order","Sortierreihenfolgen"
"Customweb_SaferpayCw::Status","Status"
"Customweb_SaferpayCw::Store the payment details","Speichere Zahlungsdaten"
"Customweb_SaferpayCw::Stored payment details","Gespeicherte Zahlungsdetails"
"Customweb_SaferpayCw::Submit Order","Bestellung absenden"
"Customweb_SaferpayCw::Submitting order information...","Bestellungsinformation übermitteln..."
"Customweb_SaferpayCw::Subtotal","Zwischensumme"
"Customweb_SaferpayCw::Success","Erfolgreich"
"Customweb_SaferpayCw::Successful","Erfolgreich"
"Customweb_SaferpayCw::Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Customweb_SaferpayCw::Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Customweb_SaferpayCw::Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Customweb_SaferpayCw::Support","Support"
"Customweb_SaferpayCw::Tax Amount","Steuerbetrag"
"Customweb_SaferpayCw::Technical error, please contact merchant.","Technischer Fehler, kontaktieren Sie bitte den Händler."
"Customweb_SaferpayCw::Technical error, please try again.","Ein technischer Fehler ist aufgetreten, bitte versuchen Sie es erneut."
"Customweb_SaferpayCw::Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Customweb_SaferpayCw::Technical problem, please contact the merchant.","Es ist ein technisches Problem aufgetreten, bitte kontaktieren Sie Ihren Händler."
"Customweb_SaferpayCw::Test API password","Test API Passwort"
"Customweb_SaferpayCw::Test Account ID","Test Account ID"
"Customweb_SaferpayCw::Test Customer ID","Test Customer ID"
"Customweb_SaferpayCw::Test JSON API Password","Test JSON API Passwort"
"Customweb_SaferpayCw::Test JSON Username","Test JSON Benutzername"
"Customweb_SaferpayCw::Test MoTo Terminal ID","Test MoTo Terminal ID"
"Customweb_SaferpayCw::Test Mode","Test Modus"
"Customweb_SaferpayCw::Test Terminal ID","Test Terminal ID"
"Customweb_SaferpayCw::Test Transaction","Testtransaktion"
"Customweb_SaferpayCw::Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):","Vielen Dank, dass Sie sich für die BillPay Rechnung entschieden haben. Bitte überweisen Sie den Rechnungsbetrag innerhalb der Zahlungsfrist unter Angabe des Verwendungszwecks (@ref) auf folgendes Konto:"
"Customweb_SaferpayCw::The 3-D Secure authentication failed.","Die 3-D Secure Authentifizierung ist fehlgeschlagen."
"Customweb_SaferpayCw::The API password as given by Saferpay for the MoTo Account ID.","Das API Passwort, das Ihnen von Saferpay für die MoTo Account ID gegeben wurde."
"Customweb_SaferpayCw::The API password as given by Saferpay.","API-Passwort von Saferpay. Für Testabläufe benutzen Sie bitte XAjc3Kna."
"Customweb_SaferpayCw::The CVC field is required.","Das CVC Feld ist obligatorisch"
"Customweb_SaferpayCw::The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von Saferpay angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"Customweb_SaferpayCw::The IBAN associated with the bank account the customer should pay into.","Die IBAN für das Konto, in welches der Kunde einzahlen soll."
"Customweb_SaferpayCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"Customweb_SaferpayCw::The account ID as given by the Saferpay.","Account ID, welche Sie von Saferpay erhalten haben. Die Account ID von Saferpay hat üblicherweise das Format 12345-12345678."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account id is used for the live environment.","Die von Saferpay bereitgestellte Account ID für eMail-/Telefonbestellungen (MoTo) sowie für wiederkehrende Transaktionen. Diese Account ID wird für die Live-Umgebung verwendet."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment.","Die von Saferpay festgelegte ID für E-Mail und Telefonbestellungen (MoTo). Diese Konto-ID wird für die Live Umgebung genutzt."
"Customweb_SaferpayCw::The alias could not be found.","Der Alias konnte nicht gefunden werden."
"Customweb_SaferpayCw::The alias has been deleted.","Der Alias wurde gelöscht"
"Customweb_SaferpayCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Saferpay.","Der Alias Manager erlaubt es dem Kunden mit einer bereits gespeicherten Kreditkarte zu bezahlen. Diese Kreditkartendaten werden bei Saferpay gespeichert."
"Customweb_SaferpayCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"Customweb_SaferpayCw::The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"Customweb_SaferpayCw::The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"Customweb_SaferpayCw::The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"Customweb_SaferpayCw::The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"Customweb_SaferpayCw::The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"Customweb_SaferpayCw::The backend of Saferpay allows the definition of payment page configurations. This field contains the name of such a configuraiton name. The configuration allows the detailed control over the layout of the payment page.","Das Backend von Saferpay erlaubt die Definition von Payment Page Konfigurationen. Dieses Feld enthält den Namen eines solchen Konfigurationsnamen. Die Konfiguration erlaubt die genaue Kontrolle über das Layout der Payment Page."
"Customweb_SaferpayCw::The billing and shipping address do not match.","Die Lieferadressen der vorherigen und der aktuellen Transaktion stimmen nicht überein."
"Customweb_SaferpayCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"Customweb_SaferpayCw::The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"Customweb_SaferpayCw::The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"Customweb_SaferpayCw::The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_SaferpayCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"Customweb_SaferpayCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"Customweb_SaferpayCw::The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_SaferpayCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"Customweb_SaferpayCw::The configuration has been saved.","Die Konfiguration wurde gespeichert."
"Customweb_SaferpayCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"Customweb_SaferpayCw::The corresponding Saferpay transaction can not be found.","Die zugehörige Transaktion von Saferpay  konnte nicht gefunden werden."
"Customweb_SaferpayCw::The customer cancelled the transaction.","Der Kunde hat die Transaktion abgebrochen."
"Customweb_SaferpayCw::The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"Customweb_SaferpayCw::The date of birth is required.","Das Geburtsdatum muss angegeben werden."
"Customweb_SaferpayCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr."
"Customweb_SaferpayCw::The gender is required.","Geschlecht muss angegeben werden."
"Customweb_SaferpayCw::The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"Customweb_SaferpayCw::The given JSON password is empty. Please check the Saferpay settings.","Das angegebene JSON Passwort ist leer. Überprüfen Sie bitte die Einstellungen von Saferpay."
"Customweb_SaferpayCw::The given JSON username is empty. Please check the Saferpay settings.","Der angegebene JSON Benutzername ist leer. Überprüfen Sie bitte die Einstellungen von Saferpay."
"Customweb_SaferpayCw::The given MoTo account id is empty. Please check the Saferpay settings.","Die angegebene MoTo Account ID ist ungültig. Bitte überprüfen Sie die Saferpay-Einstellungen."
"Customweb_SaferpayCw::The given MoTo terminal Id is empty. Please check the Saferpay settings.","Die angegebene MoTo Terminal ID ist leer. Überprüfen Sie bitte die Einstellungen von Saferpay."
"Customweb_SaferpayCw::The given account id is empty. Please check the Saferpay settings.","Die angegebene Account ID ist ungültig. Bitte überprüfen Sie die Saferpay-Einstellungen."
"Customweb_SaferpayCw::The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"Customweb_SaferpayCw::The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"Customweb_SaferpayCw::The given customer Id is empty. Please check the Saferpay settings.","Die angegebene Customer ID is leer. Überprüfen Sie bitte die Einstellungen von Saferpay ."
"Customweb_SaferpayCw::The given hmac key is empty.","Der HMAC Key ist ungültig."
"Customweb_SaferpayCw::The given identifier is empty.","Der Identifier ist ungültig."
"Customweb_SaferpayCw::The given password is empty.","Das Passwort ist ungültig."
"Customweb_SaferpayCw::The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"Customweb_SaferpayCw::The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"Customweb_SaferpayCw::The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"Customweb_SaferpayCw::The given terminal Id is empty. Please check the Saferpay settings.","Die angegebene Terminal ID ist leer. Überprüfen Sie bitte die Einstellungen von Saferpay."
"Customweb_SaferpayCw::The identifier as defined in the backoffice of Saferpay.","Der Identifier, wie er im Saferpay Backoffice angegeben ist."
"Customweb_SaferpayCw::The invoice could not be captured and processed by","Die Rechung konnte bei Saferpay nicht gebucht und verarbeitet werden"
"Customweb_SaferpayCw::The invoice could not be captured and processed. Reason:","Die Rechnung konnte nicht verbucht und verarbeitet werden. Grund: !reason."
"Customweb_SaferpayCw::The invoice could not be found.","Die Rechung konnte nicht gefunden werden."
"Customweb_SaferpayCw::The invoice has been changed.","Die Rechnung wurde geändert."
"Customweb_SaferpayCw::The invoice no longer exists.","Die Rechnung existiert nicht mehr."
"Customweb_SaferpayCw::The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"Customweb_SaferpayCw::The live API password as given by Saferpay.","Das Live API Passwort wird Ihnen von Saferpay zur Verfügung gestellt."
"Customweb_SaferpayCw::The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","Das Live JSON API Passwort können Sie im Backend von MySaferpay frei wählen via Administration > JSON API. Für weitere Informationen konsultieren Sie bitte das Handbuch."
"Customweb_SaferpayCw::The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","Der Live JSON Benutzername kann im Backend von MySaferpay gefunden werden unter Administration > JSON API. Für weitere Informationen konsultieren Sie bitte unser Handbuch."
"Customweb_SaferpayCw::The live MoTO terminal id as given by the Saferpay.","Die Live MoTo Terminal ID, welche Sie von Saferpay erhalten haben."
"Customweb_SaferpayCw::The live MoTo terminal id as given by the Saferpay.","The live MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The live account ID as given by the Saferpay.","Die Live Account ID wird Ihnen von Saferpay zur Verfügung gestellt."
"Customweb_SaferpayCw::The live customer id can be found in the MySaferpay backend on the top right corner (without the e and the last 3 digits). For more information consult our set up manual.","Die Live Customer ID kann im Backend von Saferpay oben rechts gefunden werden ( ohne e und ohne die letzten drei Ziffern). Für weitere Informationen konsultieren Sie bitte das Handbuch."
"Customweb_SaferpayCw::The live terminal id can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual. id as given by the Saferpay.","Die Live Terminal ID kann im Backend von MySaferpay gefunden werden unter Transaktionen > Zahlung. Sie besteht aus einer achtstelligen Zahl und steht oben links. Für weitere Informationen konsultieren Sie bitte unser Handbuch."
"Customweb_SaferpayCw::The name of the merchant which should be displayed on the mandate.","Der Name des Händlers, der auf dem Mandat angezeigt werden soll."
"Customweb_SaferpayCw::The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"Customweb_SaferpayCw::The number of days by which the payment period should be extended in addition to standard 20 or 30 days.","Anzahl Tage um welche die Zahlungsperiode verlängert werden soll; zusätzlich zu den standard 20 oder 30 Tagen."
"Customweb_SaferpayCw::The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","Die Beschreibung wird dem Kunden auf der Zahlungsseite angezeigt."
"Customweb_SaferpayCw::The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"Customweb_SaferpayCw::The payment could not be processed.","Die Zahlung konnte nicht verarbeitet werden."
"Customweb_SaferpayCw::The payment failed because either the card number, the CVC or the expiry date was invalid.","Die Zahlung schlug fehl, weil entweder die Kartennummer, das Ablaufdatum oder der CVC ungültig sind."
"Customweb_SaferpayCw::The payment failed.","Die Zahlung ist fehlgeschlagen."
"Customweb_SaferpayCw::The payment form will be displayed after submitting the order.","Das Bezahlformular wird nach dem Absenden der Bestellung angezeigt."
"Customweb_SaferpayCw::The payment has been accepted.","Die Zahlung wurde akzeptiert"
"Customweb_SaferpayCw::The payment has been denied.","Die Zahlung wurde abgelehnt."
"Customweb_SaferpayCw::The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"Customweb_SaferpayCw::The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"Customweb_SaferpayCw::The payment update has been made.","Das Zahlungsupdate wurde ausgeführt."
"Customweb_SaferpayCw::The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"Customweb_SaferpayCw::The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von Saferpay_ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"Customweb_SaferpayCw::The refund could not be captured.","Die Rückvergütung konnte nicht verbucht werden"
"Customweb_SaferpayCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_SaferpayCw::The refund item with SKU '@sku' is not present in the original order.","Der zurückerstattete Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht enthalten."
"Customweb_SaferpayCw::The refunding could not be conducted. Error code: !error.","Die Rückerstattung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_SaferpayCw::The shopping cart has been altered!","Der Warenkorb wurde verändert!"
"Customweb_SaferpayCw::The signature could not be verified.","Die Signatur konnte nicht verifiziert werden."
"Customweb_SaferpayCw::The site id (PBX_RANG) as defined in the backoffice of Saferpay.","Die Site ID (PBX_RANG) wie Sie im Backoffice von Saferpay angegeben ist."
"Customweb_SaferpayCw::The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk","Das Test API Passwort wird Ihnen von Saferpay zur Verfügung gestellt. Das Passwort für den Allgemeinen Test Account lautet: 8e7Yn5yk"
"Customweb_SaferpayCw::The test JSON API password as given by Saferpay.","Das Test JSON Passwort, welches Sie von Saferpay erhalten haben."
"Customweb_SaferpayCw::The test JSON username given by the Saferpay.","Der Test JSON Benutzername, welcher Sie von Saferpay erhalten haben."
"Customweb_SaferpayCw::The test MoTO terminal id as given by the Saferpay.","Die Test MoTo Terminal ID, welche Sie von Saferpay erhalten haben."
"Customweb_SaferpayCw::The test MoTo terminal id as given by the Saferpay.","The test MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The test account ID as given by the Saferpay. Generic test account: 401860-17795278","Die Test Account ID wird Ihnen von Saferpay zur Verfügung gestellt. Allgemeiner Test Account: 401860-17795278"
"Customweb_SaferpayCw::The test customer id as given by the Saferpay.","Die Test Customer ID, welche Sie von Saferpay erhalten haben."
"Customweb_SaferpayCw::The test terminal id as given by the Saferpay.","Die Test Terminal ID, welche Sie von Saferpay erhalten haben."
"Customweb_SaferpayCw::The total amount of the transaction was captured.","Die Gesamtsumme der Transaktion wurde verbucht"
"Customweb_SaferpayCw::The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' .","Der gesamte Transaktionsbetrag wurde erstattet. Die Transaktions-ID lautet: '!paymentId'."
"Customweb_SaferpayCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Der Totale gutzuschreibende Betrag von '!totalRefundedAmount' kann nicht grösser sein als der verbuchte Betrag von '!capturedAmount'."
"Customweb_SaferpayCw::The transaction cannot be cancelled online.","Die Transaktion kann nicht online storniert werden."
"Customweb_SaferpayCw::The transaction cannot be captured online.","Die Transaktion kann nicht online erfasst werden."
"Customweb_SaferpayCw::The transaction cannot be refunded online.","Die Transaktion kann nicht online zurückerstattet werden."
"Customweb_SaferpayCw::The transaction could not be captured.","Die Transaktion konnte nicht verbucht werden."
"Customweb_SaferpayCw::The transaction failed with error code !code.","Die Transaktion ist fehlgeschlagen. Fehlermeldung: !code"
"Customweb_SaferpayCw::The transaction is only executed in the test system. The goods should not be delivered.","Die Transaktion wird nur im Testsystem durchgeführt. Die Waren sollen nicht geliefert werden."
"Customweb_SaferpayCw::The uncertain transaction was accepted.","Die unsichere Transaktion wurde akzeptiert."
"Customweb_SaferpayCw::The uncertain transaction was finally declined.","Die unsichere Transaktion wurde schliesslich abgelehnt."
"Customweb_SaferpayCw::The whole transaction is cancelled.","Die gesamte Transaktion wurde storniert."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Während der Verarbeitung der Zahlung ist ein Problem aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber um sicherzugehen, dass die Bestellung erfolgreich erfasst wurde."
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason","Es gibt ein Problem mit Ihrer Lizenz. Bitte kontaktieren Sie uns (www.sellxed.com/support). Grund: !reason"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Es besteht ein Problem mit Ihrer Lizenz. Bitte kontaktieren Sie uns (www.sellxed.com/support). Reason: %1"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_SaferpayCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert. Bitte mit dieser E-Mail-Adresse anmelden, oder eine andere E-Mail-Adresse eingeben um ihren Account zu registrieren."
"Customweb_SaferpayCw::There seems to be a problem with the Saferpay module.","Es scheint ein Problem mit dem Saferpay-Modul  zu geben."
"Customweb_SaferpayCw::There was an error validating the login and password.","Ein Fehler ist bei der Validierung der Logindaten und des Passworts aufgetreten."
"Customweb_SaferpayCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieser Account ist nicht verifiziert. <a href=""%s"">Klicken Sie hier</a> um die Bestätigungsemail erneut zu versenden."
"Customweb_SaferpayCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den Saferpay Account."
"Customweb_SaferpayCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"Customweb_SaferpayCw::This setting enables the restriction of the allowed brands.","Über diese Einstellung können Sie festlegen, welche Kartenanbieter Sie akzeptieren."
"Customweb_SaferpayCw::This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"Customweb_SaferpayCw::This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"Customweb_SaferpayCw::This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"Customweb_SaferpayCw::This transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"Customweb_SaferpayCw::Timeout for pending payments (min)","Timeout für ausstehende Zahlungen (Min.)"
"Customweb_SaferpayCw::Titel","Titel"
"Customweb_SaferpayCw::Title","Titel"
"Customweb_SaferpayCw::Title of the payment method","Name der Zahlungsmethode"
"Customweb_SaferpayCw::Total","Total"
"Customweb_SaferpayCw::Total Shipping Charges","Total Lieferkosten"
"Customweb_SaferpayCw::Track order history","Getätigte Bestellungen verfolgen"
"Customweb_SaferpayCw::Transaction","Transaktion"
"Customweb_SaferpayCw::Transaction Authorized","Transaktion autorisiert"
"Customweb_SaferpayCw::Transaction Cancelled","Transaktion storniert"
"Customweb_SaferpayCw::Transaction Captured","Transaktion verbucht"
"Customweb_SaferpayCw::Transaction History","Transaktionsverlauf"
"Customweb_SaferpayCw::Transaction Id","Transaktions-ID"
"Customweb_SaferpayCw::Transaction Paid","Transaktion bezahlt"
"Customweb_SaferpayCw::Transaction Uncertain","Transaktion ist unsicher"
"Customweb_SaferpayCw::Transaction Updates","Transaktionsupdates"
"Customweb_SaferpayCw::Transaction aborted","Transaktion abgebrochen."
"Customweb_SaferpayCw::Transaction aborted by the customer.","Transaktion vom Kunden abgebrochen."
"Customweb_SaferpayCw::Transaction blocked by risk management.","Transaktion wurde vom Riskmanagement blockiert."
"Customweb_SaferpayCw::Transaction cancelled","Transaktion abgebrochen"
"Customweb_SaferpayCw::Transaction cancelled by the customer.","Die Transaktion wurde vom Kunden abgebrochen."
"Customweb_SaferpayCw::Transaction cancelled successfully","Die Transaktion wurde erfolgreich abgebrochen."
"Customweb_SaferpayCw::Transaction captured successfully","Die Transaktoin wurde erfolgreich verbucht."
"Customweb_SaferpayCw::Transaction could not be canceled.","Transaktion konnte nicht storniert werden"
"Customweb_SaferpayCw::Transaction declined.","Transaktion abgelehnt."
"Customweb_SaferpayCw::Transaction history","Transaktionsübersicht"
"Customweb_SaferpayCw::Transaction in wrong state.","Transaktion befindet sich im falschen Status."
"Customweb_SaferpayCw::Transaction not found.","Die Transaktion konnte nicht gefunden werden."
