"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::The API password as given by Saferpay.","Contraseña API Saferpay. Para probar el módulo, utilice XAjc3Kna."
"Customweb_SaferpayCw::The CVC field is required.","El campo CVC se requiere"
"Customweb_SaferpayCw::The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_SaferpayCw::The IBAN associated with the bank account the customer should pay into.","The IBAN associated with the bank account the customer should pay into."
"Customweb_SaferpayCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","El esquema de mandato SEPA no contiene la etiqueta '!tag'. Se requiere esta etiqueta."
"Customweb_SaferpayCw::The account ID as given by the Saferpay.","Account ID de Saferpay. Por lo general el ID tiene el formato de 12345-12345678."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account id is used for the live environment.","The Account ID given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This Account ID is used for the live environment."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment.","El ID de la cuenta dada por Saferpay de correo y telefónicos órdenes (MoTo). Esta identificación de la cuenta se utiliza para el entorno de producción."
"Customweb_SaferpayCw::The alias could not be found.","The alias could not be found."
"Customweb_SaferpayCw::The alias has been deleted.","El alias se ha eliminado."
"Customweb_SaferpayCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Saferpay.","El Alias Manager permite al cliente pagar con una tarjeta de crédito ya almacenado . Esta información de la tarjeta de crédito se almacena en Saferpay."
"Customweb_SaferpayCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_SaferpayCw::The amount could not be verified.","The amount could not be verified."
"Customweb_SaferpayCw::The amount of !amount is authorized.","La cantidad de cada !amount está autorizado."
"Customweb_SaferpayCw::The amount of !amount is captured.","La cantidad de cada  !amount es capturado."
"Customweb_SaferpayCw::The authorization method '!method' is not supported.","El método de autorización '!method' no es compatible."
"Customweb_SaferpayCw::The authorization was not successful","The authorization was not successful"
"Customweb_SaferpayCw::The backend of Saferpay allows the definition of payment page configurations. This field contains the name of such a configuraiton name. The configuration allows the detailed control over the layout of the payment page.","El backend de Saferpay permite la definición de configuraciones de página de pago. Este campo contiene el nombre de un nombre tan configuraiton. La configuración permite el control detallado sobre el diseño de la página de pago."
"Customweb_SaferpayCw::The billing and shipping address do not match.","La dirección de facturación y envío no coinciden."
"Customweb_SaferpayCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_SaferpayCw::The brand with external name '!key' was not present in the map.","La marca con la tecla '!key' no se encontró en el mapa información de la tarjeta."
"Customweb_SaferpayCw::The brand with key '!key' was not found in the card information map.","La marca con la tecla !key' no se encontró en el mapa información de la tarjeta."
"Customweb_SaferpayCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La cantidad de captura (!captureAmount) no puede ser mayor que el monto autorizado (!authorizedAmount)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_SaferpayCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_SaferpayCw::The configuration has been saved.","La configuración se ha guardado."
"Customweb_SaferpayCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_SaferpayCw::The corresponding Saferpay transaction can not be found.","The corresponding Saferpay transaction can not be found."
"Customweb_SaferpayCw::The customer cancelled the transaction.","The customer cancelled the transaction."
"Customweb_SaferpayCw::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_SaferpayCw::The date of birth is required.","The date of birth is required."
"Customweb_SaferpayCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","El formato esperado es '!format' donde el 'MM' significa el número del mes y 'YY' el número de años."
"Customweb_SaferpayCw::The gender is required.","The gender is required."
"Customweb_SaferpayCw::The given CVC code has the wrong length.","El código CVC dado tiene una longitud incorrecta."
"Customweb_SaferpayCw::The given JSON password is empty. Please check the Saferpay settings.","La contraseña JSON dada está vacía. Por favor, compruebe la configuración Saferpay."
"Customweb_SaferpayCw::The given JSON username is empty. Please check the Saferpay settings.","El nombre de usuario JSON dado está vacío. Por favor, compruebe la configuración Saferpay."
"Customweb_SaferpayCw::The given MoTo account id is empty. Please check the Saferpay settings.","The given MoTo Account ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given MoTo terminal Id is empty. Please check the Saferpay settings.","El Id de terminal MoTo indicado está vacío. Por favor, compruebe la configuración Saferpay."
"Customweb_SaferpayCw::The given account id is empty. Please check the Saferpay settings.","The given Account ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given card number has an invalid check sum.","El número de tarjeta dada tiene una suma de comprobación no válida."
"Customweb_SaferpayCw::The given card number has an invalid length.","El número de tarjeta dada tiene una longitud no válida."
"Customweb_SaferpayCw::The given customer Id is empty. Please check the Saferpay settings.","El identificador de cliente dado está vacío. Por favor, compruebe la configuración Saferpay."
"Customweb_SaferpayCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_SaferpayCw::The given identifier is empty.","The given identifier is empty."
"Customweb_SaferpayCw::The given password is empty.","The given password is empty."
"Customweb_SaferpayCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_SaferpayCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_SaferpayCw::The given site number is empty.","The given site number is empty."
"Customweb_SaferpayCw::The given terminal Id is empty. Please check the Saferpay settings.","El Id de terminal indicado está vacío. Por favor, compruebe la configuración Saferpay."
"Customweb_SaferpayCw::The identifier as defined in the backoffice of Saferpay.","The identifier as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed by","La cuenta no se ha podido contabilizar i procesar de Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed. Reason:","La factura no puede ser capturado y procesado. Motivo:"
"Customweb_SaferpayCw::The invoice could not be found.","La factura no se pudo encontrar."
"Customweb_SaferpayCw::The invoice has been changed.","La factura se ha cambiado."
"Customweb_SaferpayCw::The invoice no longer exists.","La factura ya no existe."
"Customweb_SaferpayCw::The layout does not contain the tag '!layout_tag'.","La disposición no contiene la etiqueta '!layout_tag'."
"Customweb_SaferpayCw::The live API password as given by Saferpay.","The live API password as given by Saferpay."
"Customweb_SaferpayCw::The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","La contraseña de la API de JSON en directo se puede elegir libremente en el módulo de servicio de MySaferpay a través de Administration > JSON API. Para más información, consulte nuestro manual de instalación."
"Customweb_SaferpayCw::The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","El nombre de usuario de JSON se encuentra en el backend de MySaferpay a través de Administration > JSON API. Para más información, consulte nuestro manual de instalación."
"Customweb_SaferpayCw::The live MoTO terminal id as given by the Saferpay.","The live MoTO terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The live MoTo terminal id as given by the Saferpay.","La identificación del terminal MoTo en vivo según lo indicado por el Saferpay."
"Customweb_SaferpayCw::The live account ID as given by the Saferpay.","The live account ID as given by the Saferpay."
"Customweb_SaferpayCw::The live customer id can be found in the MySaferpay backend on the top right corner (without the e and the last 3 digits). For more information consult our set up manual.","El identificador de cliente en vivo se puede encontrar en el backend de MySaferpay en la esquina superior derecha (sin la e y los últimos 3 dígitos). Para más información, consulte nuestro manual de instalación."
"Customweb_SaferpayCw::The live terminal id can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual. id as given by the Saferpay.","Terminal en vivo La identificación de la terminal en vivo se puede encontrar en el backend de MySaferpay a través de Transactions > Payment. Consiste en un número de ocho dígitos que se encuentra en la parte superior izquierda. Para más información, consulte nuestro manual de instalación. id según lo indicado por Saferpay."
"Customweb_SaferpayCw::The name of the merchant which should be displayed on the mandate.","El nombre del comerciante que debe aparecer en el mandato."
"Customweb_SaferpayCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_SaferpayCw::The number of days by which the payment period should be extended in addition to standard 20 or 30 days.","Número de días en que el período de pago debe extenderse, además de los estándar de 20 o 30 días."
"Customweb_SaferpayCw::The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","La descripción de pedido mostrará en la página de pago. Ella describen los productos adquiridos."
"Customweb_SaferpayCw::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_SaferpayCw::The payment could not be processed.","el pago no pudo ser procesado."
"Customweb_SaferpayCw::The payment failed because either the card number, the CVC or the expiry date was invalid.","The payment failed because either the card number, the CVC or the expiry date was invalid."
"Customweb_SaferpayCw::The payment failed.","El pago falló."
"Customweb_SaferpayCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_SaferpayCw::The payment has been accepted.","The payment has been accepted."
"Customweb_SaferpayCw::The payment has been denied.","The payment has been denied."
"Customweb_SaferpayCw::The payment method !paymentMethodName does not support the currency '!currency'.","La forma de pago! PaymentMethodName no soporta la moneda '!currency'."
"Customweb_SaferpayCw::The payment method !paymentMethodName is not available in your country ('!country').","La forma de pago! PaymentMethodName no está disponible en tu país ('!country')."
"Customweb_SaferpayCw::The payment update has been made.","The payment update has been made."
"Customweb_SaferpayCw::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_SaferpayCw::The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_SaferpayCw::The refund could not be captured.","El reembolso no podría ser contabilizada"
"Customweb_SaferpayCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_SaferpayCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_SaferpayCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_SaferpayCw::The signature could not be verified.","The signature could not be verified."
"Customweb_SaferpayCw::The site id (PBX_RANG) as defined in the backoffice of Saferpay.","The site id (PBX_RANG) as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk","The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk"
"Customweb_SaferpayCw::The test JSON API password as given by Saferpay.","La contraseña de prueba de la API de JSON tal y como fue dada por Saferpay."
"Customweb_SaferpayCw::The test JSON username given by the Saferpay.","El nombre de usuario JSON de prueba dado por el Saferpay."
"Customweb_SaferpayCw::The test MoTO terminal id as given by the Saferpay.","The test MoTO terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The test MoTo terminal id as given by the Saferpay.","La prueba de identificación del terminal MoTo como lo da el Saferpay."
"Customweb_SaferpayCw::The test account ID as given by the Saferpay. Generic test account: 401860-17795278","The test account ID as given by the Saferpay. Generic test account: 401860-17795278"
"Customweb_SaferpayCw::The test customer id as given by the Saferpay.","La identificación del cliente de prueba según lo dado por el Saferpay."
"Customweb_SaferpayCw::The test terminal id as given by the Saferpay.","La identificación de la terminal de prueba según lo indicado por el Saferpay."
"Customweb_SaferpayCw::The total amount of the transaction was captured.","El importe total  de la transacción fue capturado."
"Customweb_SaferpayCw::The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' .","El monto total de la transacción fue reembolsado. Reembolso ID de transacción:  '!paymentId'."
"Customweb_SaferpayCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","La cantidad del reembolso total de (!totalRefundedAmount) no puede ser mayor que la cantidad capturada (!capturedAmount)."
"Customweb_SaferpayCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_SaferpayCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_SaferpayCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_SaferpayCw::The transaction could not be captured.","Transacción no podría ser contabilizada"
"Customweb_SaferpayCw::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_SaferpayCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_SaferpayCw::The uncertain transaction was accepted.","La transacción no garantizada fue aceptada."
"Customweb_SaferpayCw::The uncertain transaction was finally declined.","La transacción no garantizada fue finalmente rechazada."
"Customweb_SaferpayCw::The whole transaction is cancelled.","Toda la operación fue cancelada."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Ha habido un problema durante el procesamiento de su pago. Por favor, póngase en contacto con el dueño de la tienda para asegurarse de que su pedido se ha realizado con éxito."
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_SaferpayCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_SaferpayCw::There seems to be a problem with the Saferpay module.","Parece que hay un problema con el módulo de Saferpay."
"Customweb_SaferpayCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_SaferpayCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"Customweb_SaferpayCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account."
"Customweb_SaferpayCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_SaferpayCw::This setting enables the restriction of the allowed brands.","Este ajuste permite restringir las marcas permitidas."
"Customweb_SaferpayCw::This status is set, when the payment was successfull and it is authorized.","Este estado se define cuando el pago fue exitoso y que está autorizado."
"Customweb_SaferpayCw::This transaction is already closed for further captures.","Esta transacción ya está cerrada para otras contabilizaciones"
"Customweb_SaferpayCw::This transaction is already closed for further refunds.","Esta operación se ha cerrado por más créditos."
"Customweb_SaferpayCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_SaferpayCw::Timeout for pending payments (min)","Timeout para los pagos pendientes (min)"
"Customweb_SaferpayCw::Titel","Titulo"
"Customweb_SaferpayCw::Title","Title"
"Customweb_SaferpayCw::Title of the payment method","Nombre de la forma de pago"
"Customweb_SaferpayCw::Total","Total"
"Customweb_SaferpayCw::Total Shipping Charges","Total de gastos de envío"
"Customweb_SaferpayCw::Track order history","Track order history"
"Customweb_SaferpayCw::Transaction","Transaction"
"Customweb_SaferpayCw::Transaction Authorized","Transacción autorizada"
"Customweb_SaferpayCw::Transaction Cancelled","Transacción cancelada"
"Customweb_SaferpayCw::Transaction Captured","Transacción contabilizada"
"Customweb_SaferpayCw::Transaction History","Transaction History"
"Customweb_SaferpayCw::Transaction Id","Transaction Id"
"Customweb_SaferpayCw::Transaction Paid","Transacción pagado"
"Customweb_SaferpayCw::Transaction Uncertain","Transacción es incierto"
"Customweb_SaferpayCw::Transaction Updates","Transaction Updates"
"Customweb_SaferpayCw::Transaction aborted","Transacción abortada"
"Customweb_SaferpayCw::Transaction aborted by the customer.","Transacción abortada por el cliente."
"Customweb_SaferpayCw::Transaction blocked by risk management.","Transacción bloqueada por la gestión de riesgos."
"Customweb_SaferpayCw::Transaction cancelled","Transacción cancelada"
"Customweb_SaferpayCw::Transaction cancelled by the customer.","Transacción cancelada por el cliente."
"Customweb_SaferpayCw::Transaction cancelled successfully","Transacción cancelada exitosamente"
"Customweb_SaferpayCw::Transaction captured successfully","Transacción capturado con éxito"
"Customweb_SaferpayCw::Transaction could not be canceled.","Transacción no podría ser cancelada"
"Customweb_SaferpayCw::Transaction declined.","Transacción rechazada."
"Customweb_SaferpayCw::Transaction history","Resumen de transacciones"
"Customweb_SaferpayCw::Transaction in wrong state.","Transacción en mal estado."
"Customweb_SaferpayCw::Transaction not found.","Transacción no encontrada."
"Customweb_SaferpayCw::Transaction not started by the customer.","Transacción no iniciada por el cliente."
"Customweb_SaferpayCw::Transaction was authorized over the deferred authorization mechanism.","Operación fue autorizada por el mecanismo de autorización diferido."
"Customweb_SaferpayCw::Transactions","Transactions"
"Customweb_SaferpayCw::Unable to resolve card type id '@id' to a payment method name.","Unable to resolve card type id '@id' to a payment method name."
"Customweb_SaferpayCw::Unable to resolve payment method id '@id' to a payment method name.","No se puede resolver el método de pago ID '@id' con un nombre de método de pago."
"Customweb_SaferpayCw::Unable to save the invoice.","No se puede guardar la factura."
"Customweb_SaferpayCw::Uncertain Status","Estado incierto"
"Customweb_SaferpayCw::Uncertain transactions","Transacción está incierta"
"Customweb_SaferpayCw::Unknown alias or already used.","Alias desconocidos o ya usados."
"Customweb_SaferpayCw::Unkown alias or already used.","Unkown alias or already used."
"Customweb_SaferpayCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_SaferpayCw::Update","Actualización"
"Customweb_SaferpayCw::Update Qty's","Actualización de la cantidad"
"Customweb_SaferpayCw::Update interval for payments","Interval de actualisación para pagos"
"Customweb_SaferpayCw::Use Base Currency","Use Base Currency"
"Customweb_SaferpayCw::Use CVC for card verification (recommended)","Utilice CVC para verificación de la tarjeta (recomendado)"
"Customweb_SaferpayCw::Use Default","Utilice la configuración estándar."
"Customweb_SaferpayCw::Use MoTo Account for Alias Transactions","Utilice Cuenta MoTo para transacciones Alias"
"Customweb_SaferpayCw::Use MoTo account","Utilice la cuenta MoTo"
"Customweb_SaferpayCw::Use base currency","Use base currency"
"Customweb_SaferpayCw::Use normal account (recommended)","Utilice la cuenta normal (recomendada)"
"Customweb_SaferpayCw::Use shipping address","Utilice la dirección de envío"
"Customweb_SaferpayCw::Use the MoTo Account for recurring payments using a stored alias. In this way no 3D Secure verification is performed","Utilice la Cuenta MoTo de pago con un alias almacenado recurrentes. De este modo no se realiza ninguna verificación 3D Secure."
"Customweb_SaferpayCw::V Pay","V Pay"
"Customweb_SaferpayCw::VISA","VISA"
"Customweb_SaferpayCw::Validation","Validación"
"Customweb_SaferpayCw::Version","Version"
"Customweb_SaferpayCw::View","View"
"Customweb_SaferpayCw::Visa","Visa"
"Customweb_SaferpayCw::Wait On Success Page","Wait On Success Page"
"Customweb_SaferpayCw::Wallet used","Billetera usada"
"Customweb_SaferpayCw::We cannot get the transaction instance.","We cannot get the transaction instance."
"Customweb_SaferpayCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Hemos experimentado un problema con su extensión de pago sellxed. Para obtener más información, visite la página de configuración del plugin."
"Customweb_SaferpayCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_SaferpayCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento."
"Customweb_SaferpayCw::Year","Año"
"Customweb_SaferpayCw::Yes","Sí"
"Customweb_SaferpayCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_SaferpayCw::You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in the their account."
"Customweb_SaferpayCw::You can decide on the order status new orders should have after they are processed successfully.","Define el estado del pedido de nuevas órdenes, que se procesaron correctamente."
"Customweb_SaferpayCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Define el estado del pedido de nuevas órdenes con el estado inseguro."
"Customweb_SaferpayCw::You can define here a CSS URL which is included in the payment page. The CSS can only be used, when it is hosted on a server which has SSL enabled.","Aquí puede definir una URL de CSS que se incluye en la página de pago. El CSS sólo se puede utilizar cuando está alojado en un servidor que tenga SSL habilitado."
"Customweb_SaferpayCw::You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","Puede definir el nombre de la configuración de la página de pago. Puede crear una nueva configuración en el backend de Saferpay. Si Saferpay no encuentra la configuración, se utiliza la configuración predeterminada."
"Customweb_SaferpayCw::You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can enable approval mode for the approval by Billpay","Puede activar el modo de autorización para la aprobación de BillPay."
"Customweb_SaferpayCw::You can specify the order status for new orders that have an uncertain authorisation status.","Se puede especificar el estado del pedido de los nuevos pedidos que tienen un estado de autorización incierto."
"Customweb_SaferpayCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Se puede especificar el estado de su pedido para los pedidos que se capturan de forma directa después de la orden o de forma manual en el backend."
"Customweb_SaferpayCw::You can specify the order status when an order is cancelled.","Se puede especificar el estado de la orden cuando una orden se cancela."
"Customweb_SaferpayCw::You created the order.","You created the order."
"Customweb_SaferpayCw::You have no stored aliases.","You have no stored aliases."
"Customweb_SaferpayCw::You have successfully cancelled the payment.","You have successfully cancelled the payment."
"Customweb_SaferpayCw::You have to agree to the general terms.","Tiene que aceptar los condiciones generales."
"Customweb_SaferpayCw::You have to enter a card number.","Debe inserir un número de tarjeta"
"Customweb_SaferpayCw::You have to enter bank code of your bank.","Debe introducir el código bancario"
"Customweb_SaferpayCw::You have to enter commercial number of you company.","Usted tiene que ingresar el número comercial de su empresa."
"Customweb_SaferpayCw::You have to enter either the CVC code or the issue number of your card.","Usted tiene que ingresar ya sea el código CVC o el número de expedición de la tarjeta."
"Customweb_SaferpayCw::You have to enter sales tax number of you company.","Usted tiene que ingresar el número de impuesto sobre las ventas de su empresa."
"Customweb_SaferpayCw::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_SaferpayCw::You have to enter the BIC.","Entrar en el BIC."
"Customweb_SaferpayCw::You have to enter the CVC code from your card.","Debe introducir el CVC su tarjeta."
"Customweb_SaferpayCw::You have to enter the IBAN.","Entrar en el IBAN."
"Customweb_SaferpayCw::You have to enter the account holder name on the card.","Usted tiene que introducir el nombre del titular de la tarjeta."
"Customweb_SaferpayCw::You have to enter the account holder name.","Entrar en el nombre del titular de la cuenta."
"Customweb_SaferpayCw::You have to enter the card holder name on the card.","Debe introducir el titular de la tarjeta."
"Customweb_SaferpayCw::You have to enter the location of your bank.","Tienes que entrar en la ubicación de su banco."
"Customweb_SaferpayCw::You have to enter the name of the account owner.","Debe introducir el titular de la cuenta bancaria"
"Customweb_SaferpayCw::You have to enter the name of your bank.","Usted tiene que introducir el nombre de su banco."
"Customweb_SaferpayCw::You have to enter your IBAN Number.","Tiene que introducir su número de IBAN."
"Customweb_SaferpayCw::You have to enter your bank account number.","Debe introducir el número de cuenta de tu cuenta bancaria."
"Customweb_SaferpayCw::You have to enter your social security number.","Tiene que introducir su número de seguro social."
"Customweb_SaferpayCw::You may choose one of the cards you paid before on this site.","Usted puede elegir entre una tarjeta utilizada anteriormente:"
"Customweb_SaferpayCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_SaferpayCw::You will be redirect to the order confirmation page.","Se le redirige a la página de confirmación del pedido."
"Customweb_SaferpayCw::Your 3ds check failed.","Su verificación 3ds falló."
"Customweb_SaferpayCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Su navegador no permite la ejecución de JavaScript. Por favor, active JavaScript en su navegador y vuelva a cargar esta página."
"Customweb_SaferpayCw::Your card is expired.","Su tarjeta ha caducado."
"Customweb_SaferpayCw::Your checkout session expired.","Your checkout session expired."
"Customweb_SaferpayCw::Your order description","Su descripción de pedido"
"Customweb_SaferpayCw::SaferpayCw Aliases","SaferpayCw Alias"
"Customweb_SaferpayCw::SaferpayCw authorization responded with : !result '!authmessage'","SaferpayCw autorización respondió con: !result '!authmessage'"
"Customweb_SaferpayCw::SaferpayCw response verification failed. Manipulation possible. Reason: !message","SaferpayCw Verificación respuesta fracasó. Manipulación posible. Motivo: !message"
"Customweb_SaferpayCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_SaferpayCw::Saferpay API password","Saferpay contraseña API"
"Customweb_SaferpayCw::Saferpay Aliases","Saferpay Aliases"
"Customweb_SaferpayCw::Saferpay Error","Saferpay Error"
"Customweb_SaferpayCw::Saferpay MoTo API password","Saferpay MoTo API password"
"Customweb_SaferpayCw::Saferpay MoTo account ID","Saferpay MoTo account ID"
"Customweb_SaferpayCw::Saferpay Parameters","Saferpay Parameters"
"Customweb_SaferpayCw::Saferpay Refund Items","Saferpay Refund Items"
"Customweb_SaferpayCw::Saferpay Section","Saferpay Section"
"Customweb_SaferpayCw::Saferpay Transactions","Saferpay Transactions"
"Customweb_SaferpayCw::Saferpay account ID","Saferpay Account ID"
"Customweb_SaferpayCw::Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)","Saferpay enviará un correo electrónico a esta dirección, siempre que se autorice un pago con éxito. (Disponible sólo para pagos en los que el cliente es redirigido a Saferpay.)"
