"Customweb_SaferpayCw::* Required Fields","* campo obbligatorio"
"Customweb_SaferpayCw::Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Customweb_SaferpayCw::Successful payment authorization.","Pagamento autorizzato con successo."
"Customweb_SaferpayCw::Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Customweb_SaferpayCw::Support","Supporto"
"Customweb_SaferpayCw::Tax Amount","Importo Tassa"
"Customweb_SaferpayCw::Technical error, please contact merchant.","Errore tecnico, contattare il commerciante."
"Customweb_SaferpayCw::Technical error, please try again.","Errore tecnico, prova ancora."
"Customweb_SaferpayCw::Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Customweb_SaferpayCw::Technical problem, please contact the merchant.","Problema tecnico, contattare il commerciante."
"Customweb_SaferpayCw::Test API password","Password Test API"
"Customweb_SaferpayCw::Test Account ID","Test Account ID"
"Customweb_SaferpayCw::Test Customer ID","Test Customer ID"
"Customweb_SaferpayCw::Test JSON API Password","Password Test JSON API"
"Customweb_SaferpayCw::Test JSON Username","Username di Test JSON"
"Customweb_SaferpayCw::Test MoTo Terminal ID","Test MoTo Terminal ID"
"Customweb_SaferpayCw::Test Mode","Test Mode"
"Customweb_SaferpayCw::Test Terminal ID","Test Terminal ID"
"Customweb_SaferpayCw::Test Transaction","Test per la transazione"
"Customweb_SaferpayCw::Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):","Grazie per aver scelto l'opzione BillPay Pay by invoice. Si prega di trasferire l'importo entro il termine di pagamento sul seguente conto, indicando il riferimento (@ref):"
"Customweb_SaferpayCw::The 3-D Secure authentication failed.","Il 3-D Autenticazione sicura riuscita."
"Customweb_SaferpayCw::The API password as given by Saferpay for the MoTo Account ID.","L'account id proposto da Saferpay per ordini via posta e telefono (moto). Questo ID account viene utilizzato per la modalità live."
"Customweb_SaferpayCw::The API password as given by Saferpay.","Password di API da Saferpay. Per testare il modulo, si prega di utilizzare XAjc3Kna."
"Customweb_SaferpayCw::The CVC field is required.","Il campo CVC é obbligatorio."
"Customweb_SaferpayCw::The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_SaferpayCw::The IBAN associated with the bank account the customer should pay into.","The IBAN associated with the bank account the customer should pay into."
"Customweb_SaferpayCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"Customweb_SaferpayCw::The account ID as given by the Saferpay.","ID account fornito da Saferpay. Di solito l'ID ha il formato 12345-12345678."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account id is used for the live environment.","Account ID dato da Saferpay per gli ordini tramite e-mail e per telefono (MoTo) e per le operazioni ricorrenti. Questo Account ID viene utilizzato per il live."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment.","L'account id proposto da Saferpay per gli ordini via posta e telefono (moto). Questo  account ID viene utilizzato per la modalità live."
"Customweb_SaferpayCw::The alias could not be found.","L'alias non é stato trovato."
"Customweb_SaferpayCw::The alias has been deleted.","L'alias é stato cancellato."
"Customweb_SaferpayCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Saferpay.","L'Alias Manager consente al cliente di pagare con una carta di credito già salvata precedentemente. Questa carta di credito é salvata in ____ paymentServiceProviderName____."
"Customweb_SaferpayCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_SaferpayCw::The amount could not be verified.","The amount could not be verified."
"Customweb_SaferpayCw::The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"Customweb_SaferpayCw::The amount of !amount is captured.","La quantità di !amount é registrata."
"Customweb_SaferpayCw::The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"Customweb_SaferpayCw::The authorization was not successful","The authorization was not successful"
"Customweb_SaferpayCw::The backend of Saferpay allows the definition of payment page configurations. This field contains the name of such a configuraiton name. The configuration allows the detailed control over the layout of the payment page.","Il backend di Saferpay consente la definizione di configurazioni per la pagina di pagamento. Questo campo contiene il nome di questa configurazioni. La configurazione permette il controllo dettagliato sul layout della pagina di pagamento."
"Customweb_SaferpayCw::The billing and shipping address do not match.","L'indirizzo di fatturazione e di spedizione non corrispondono."
"Customweb_SaferpayCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_SaferpayCw::The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"Customweb_SaferpayCw::The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"Customweb_SaferpayCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"Customweb_SaferpayCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_SaferpayCw::The configuration has been saved.","La configurazione é stata salvata."
"Customweb_SaferpayCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"Customweb_SaferpayCw::The corresponding Saferpay transaction can not be found.","La transazione corrispondente di Saferpay  non é stata trovata."
"Customweb_SaferpayCw::The customer cancelled the transaction.","Il cliente ha cancellato la transazione."
"Customweb_SaferpayCw::The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"Customweb_SaferpayCw::The date of birth is required.","È richiesta la data di nascita."
"Customweb_SaferpayCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno."
"Customweb_SaferpayCw::The gender is required.","Il sesso deve essere specificato."
"Customweb_SaferpayCw::The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"Customweb_SaferpayCw::The given JSON password is empty. Please check the Saferpay settings.","La password JSON é vuota. Controlla le impostazioni di Saferpay."
"Customweb_SaferpayCw::The given JSON username is empty. Please check the Saferpay settings.","Lo username di JSON é vuoto. Controlla le impostazioni di Saferpay."
"Customweb_SaferpayCw::The given MoTo account id is empty. Please check the Saferpay settings.","Il campo MoTo Account ID é  vuoto. Si prega di controllare le impostazioni Saferpay."
"Customweb_SaferpayCw::The given MoTo terminal Id is empty. Please check the Saferpay settings.","Il MoTo terminal ID é vuoto. Controlla le impostazioni di ____paymentServiceProviderName___."
"Customweb_SaferpayCw::The given account id is empty. Please check the Saferpay settings.","Il campo Account ID é vuoto. Si prega di controllare le impostazioni Saferpay."
"Customweb_SaferpayCw::The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"Customweb_SaferpayCw::The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"Customweb_SaferpayCw::The given customer Id is empty. Please check the Saferpay settings.","Il Customer ID é vuoto. Controlla le impostazioni di Saferpay"
"Customweb_SaferpayCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_SaferpayCw::The given identifier is empty.","The given identifier is empty."
"Customweb_SaferpayCw::The given password is empty.","The given password is empty."
"Customweb_SaferpayCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_SaferpayCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_SaferpayCw::The given site number is empty.","The given site number is empty."
"Customweb_SaferpayCw::The given terminal Id is empty. Please check the Saferpay settings.","Il Terminal ID é vuoto.Controlla le impostazioni di Saferpay"
"Customweb_SaferpayCw::The identifier as defined in the backoffice of Saferpay.","The identifier as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed. Reason:","La fattura non può essere registrata e processata. Causa:"
"Customweb_SaferpayCw::The invoice could not be found.","La fattura non é stato trovata."
"Customweb_SaferpayCw::The invoice has been changed.","La fattura é stata cambiata."
"Customweb_SaferpayCw::The invoice no longer exists.","La fattura non esiste più."
"Customweb_SaferpayCw::The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"Customweb_SaferpayCw::The live API password as given by Saferpay.","La password di Live API é fornita da Saferpay."
"Customweb_SaferpayCw::The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","La password di live JSON API può essere scelta liberamente nel backend di MySaferpay in Administration > JSON API. Per ulteriori informazioni, consultare il manuale di configurazione."
"Customweb_SaferpayCw::The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","Lo username Live JSON può essere trovato nel backend di MySaferpay in Administration > JSON API.Per ulteriori informazioni consultare il manuale di configurazione."
"Customweb_SaferpayCw::The live MoTO terminal id as given by the Saferpay.","Il live MoTO terminal id fornito da Saferpay."
"Customweb_SaferpayCw::The live MoTo terminal id as given by the Saferpay.","The live MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The live account ID as given by the Saferpay.","Live account ID é fornito da Saferpay."
"Customweb_SaferpayCw::The live customer id can be found in the MySaferpay backend on the top right corner (without the e and the last 3 digits). For more information consult our set up manual.","Il Live Customer ID può essere trovato nel backend di MySaferpay in alto a destra (senza la 'e' e con gli ultimi 3 numeri). Per ulteriori informazioni, controllare il manuale di configurazione."
"Customweb_SaferpayCw::The live terminal id can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual. id as given by the Saferpay.","Il Live Terminal ID può essere trovato nel backend di MySaferpay in Transactions > Payment. Consiste in un numero di otto cifre e può essere trovato in alto a destra. Per ulteriori informazioni, controllare il manuale di configurazione. L'ID come fornito da Saferpay."
"Customweb_SaferpayCw::The name of the merchant which should be displayed on the mandate.","Il nome del mercante da visualizzare sul mandato."
"Customweb_SaferpayCw::The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"Customweb_SaferpayCw::The number of days by which the payment period should be extended in addition to standard 20 or 30 days.","Numero di giorni con la quale il termine di pagamento deve essere esteso, oltre ai normali 20 o 30 giorni."
"Customweb_SaferpayCw::The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","La descrizione dell'ordine viene visualizzato sulla pagina di pagamento e deve descrivere i prodotti acquistati."
"Customweb_SaferpayCw::The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"Customweb_SaferpayCw::The payment could not be processed.","Il pagamento non é andato a buon fine."
"Customweb_SaferpayCw::The payment failed because either the card number, the CVC or the expiry date was invalid.","Il pagamento non é andato a buon fine perché o il numero della carta, o la CVC o la data di scadenza non erano validi."
"Customweb_SaferpayCw::The payment failed.","Il pagamento non é andato a buon fine."
"Customweb_SaferpayCw::The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"Customweb_SaferpayCw::The payment has been accepted.","Il pagamento é stato accettato."
"Customweb_SaferpayCw::The payment has been denied.","Il pagamento é stato rifiutato."
"Customweb_SaferpayCw::The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"Customweb_SaferpayCw::The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"Customweb_SaferpayCw::The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"Customweb_SaferpayCw::The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"Customweb_SaferpayCw::The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_SaferpayCw::The refund could not be captured.","Il rimborso non può essere contabilizzato"
"Customweb_SaferpayCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"Customweb_SaferpayCw::The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"Customweb_SaferpayCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The shopping cart has been altered!","Il carrello é stato modificato!"
"Customweb_SaferpayCw::The signature could not be verified.","The signature could not be verified."
"Customweb_SaferpayCw::The site id (PBX_RANG) as defined in the backoffice of Saferpay.","The site id (PBX_RANG) as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk","La password del test API é fornita da Saferpay.  La password per l'account generico é: 8e7Yn5yk"
"Customweb_SaferpayCw::The test JSON API password as given by Saferpay.","La password Test JSON API fornita da Saferpay."
"Customweb_SaferpayCw::The test JSON username given by the Saferpay.","Username di Test JSON fornito da Saferpay."
"Customweb_SaferpayCw::The test MoTO terminal id as given by the Saferpay.","Il test MoTO terminal id fornita da Saferpay."
"Customweb_SaferpayCw::The test MoTo terminal id as given by the Saferpay.","The test MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The test account ID as given by the Saferpay. Generic test account: 401860-17795278","L'ID dell'account test é fornito da Saferpay. Account test generico: 401860-17795278"
"Customweb_SaferpayCw::The test customer id as given by the Saferpay.","Il Test Customer ID come fornito da Saferpay."
"Customweb_SaferpayCw::The test terminal id as given by the Saferpay.","Il Test Terminal ID fornito da Saferpay."
"Customweb_SaferpayCw::The total amount of the transaction was captured.","L'importo totale della transazione é stato contabilizzato."
"Customweb_SaferpayCw::The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' .","L'importo totale della transazione é stato rimborsato.  ID Rimborso della transazione: '!paymentId'."
"Customweb_SaferpayCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"Customweb_SaferpayCw::The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"Customweb_SaferpayCw::The transaction cannot be captured online.","Impossibile registrare la transazione online."
"Customweb_SaferpayCw::The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"Customweb_SaferpayCw::The transaction could not be captured.","La transazione non può essere registrata."
"Customweb_SaferpayCw::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_SaferpayCw::The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"Customweb_SaferpayCw::The uncertain transaction was accepted.","La transazione non garantita è stata accettata."
"Customweb_SaferpayCw::The uncertain transaction was finally declined.","La transazione non garantita è stata infine respinta."
"Customweb_SaferpayCw::The whole transaction is cancelled.","L'intera transazione é stata annullata."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason","C'è un problema con la licenza. Contattaci per favore (www.sellxed.com/support).  Causa: !reason"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"Customweb_SaferpayCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"Customweb_SaferpayCw::There seems to be a problem with the Saferpay module.","Sembra esserci un problema con il modulo Saferpay."
"Customweb_SaferpayCw::There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"Customweb_SaferpayCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"Customweb_SaferpayCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account."
"Customweb_SaferpayCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_SaferpayCw::This setting enables the restriction of the allowed brands.","Questa impostazione consente la restrizione delle marche consentite."
"Customweb_SaferpayCw::This status is set, when the payment was successfull and it is authorized.","Questo status é selezionato quando il pagamento ha avuto esito positivo ed è autorizzato."
"Customweb_SaferpayCw::This transaction is already closed for further captures.","Questa transazione é già chiusa."
"Customweb_SaferpayCw::This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"Customweb_SaferpayCw::This transaction no longer exists.","La transazione non esiste più."
"Customweb_SaferpayCw::Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Customweb_SaferpayCw::Titel","Titolo"
"Customweb_SaferpayCw::Title","Title"
"Customweb_SaferpayCw::Title of the payment method","Nome del metodo di pagamento"
"Customweb_SaferpayCw::Total","Totale"
"Customweb_SaferpayCw::Total Shipping Charges","Totale spese di trasporto"
"Customweb_SaferpayCw::Track order history","Traccia lo storico dell'ordine"
"Customweb_SaferpayCw::Transaction","tbcl_saferpaycw_transaction_view"
"Customweb_SaferpayCw::Transaction Authorized","Transazione autorizzata"
"Customweb_SaferpayCw::Transaction Cancelled","Transazione annullata"
"Customweb_SaferpayCw::Transaction Captured","Transazione registrata"
"Customweb_SaferpayCw::Transaction History","Storico della transazione"
"Customweb_SaferpayCw::Transaction Id","Transaction ID"
"Customweb_SaferpayCw::Transaction Paid","La transazione é stata pagata"
"Customweb_SaferpayCw::Transaction Uncertain","Transazione incerta"
"Customweb_SaferpayCw::Transaction Updates","Transaction Updates"
"Customweb_SaferpayCw::Transaction aborted","Transazione interrotta"
"Customweb_SaferpayCw::Transaction aborted by the customer.","Transazione interrotta dal cliente."
"Customweb_SaferpayCw::Transaction blocked by risk management.","Transazione bloccata dal gestore de rischio."
"Customweb_SaferpayCw::Transaction cancelled","Transazione cancellata"
"Customweb_SaferpayCw::Transaction cancelled by the customer.","Transazione annullata dal cliente."
"Customweb_SaferpayCw::Transaction cancelled successfully","La transazione é stata annullata con successo."
"Customweb_SaferpayCw::Transaction captured successfully","Transazione registrata con successo"
"Customweb_SaferpayCw::Transaction could not be canceled.","La transazione non può essere annullata."
"Customweb_SaferpayCw::Transaction declined.","Transazione rifiutata."
"Customweb_SaferpayCw::Transaction history","Sintesi delle transazioni"
"Customweb_SaferpayCw::Transaction in wrong state.","Transazione con lo status sbagliato."
"Customweb_SaferpayCw::Transaction not found.","Transazione non riuscita."
"Customweb_SaferpayCw::Transaction not started by the customer.","La transazione non iniziata dal cliente."
"Customweb_SaferpayCw::Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Customweb_SaferpayCw::Transactions","Transazioni"
"Customweb_SaferpayCw::Unable to resolve card type id '@id' to a payment method name.","Impossibile colelgare l'ID del tipo di carta '@id' a un nome di metodo di pagamento."
"Customweb_SaferpayCw::Unable to resolve payment method id '@id' to a payment method name.","Impossibile collegare l' '@id' dell'id metodo di pagamento a un nome di metodo di pagamento."
"Customweb_SaferpayCw::Unable to save the invoice.","Impossibile salvare la fattura."
"Customweb_SaferpayCw::Uncertain Status","Status incerto"
"Customweb_SaferpayCw::Uncertain transactions","Transazioni incerte"
"Customweb_SaferpayCw::Unknown alias or already used.","Unknown alias or already used."
"Customweb_SaferpayCw::Unkown alias or already used.","Alias sconosciuto o già in uso."
"Customweb_SaferpayCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Se non si seleziona questa casella di controllo, il pagamento sarà catturato al PSP e non è possibile aggiungere ulteriori catture."
"Customweb_SaferpayCw::Update","Aggiornamento"
"Customweb_SaferpayCw::Update Qty's","Regolare la quantità"
"Customweb_SaferpayCw::Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Customweb_SaferpayCw::Use Base Currency","Usa valuta di base"
"Customweb_SaferpayCw::Use CVC for card verification (recommended)","Usare CVC per la verifica della carta (consigliato)"
"Customweb_SaferpayCw::Use Default","Usare le impostazioni standard"
"Customweb_SaferpayCw::Use MoTo Account for Alias Transactions","Utilizzare MoTo account per le transazioni Alias"
"Customweb_SaferpayCw::Use MoTo account","Utilizzare conto MoTo"
"Customweb_SaferpayCw::Use base currency","Usa la valuta di base"
"Customweb_SaferpayCw::Use normal account (recommended)","Utilizzare conto normale (consigliato)"
"Customweb_SaferpayCw::Use shipping address","Utilizzare l'indirizzo di spedizione"
"Customweb_SaferpayCw::Use the MoTo Account for recurring payments using a stored alias. In this way no 3D Secure verification is performed","Utilizzare il Conto MoTo per i pagamenti ricorrenti utilizzando un alias memorizzato. In questo modo non viene eseguita alcuna verifica sicura 3D."
"Customweb_SaferpayCw::V Pay","V Pay"
"Customweb_SaferpayCw::VISA","VISA"
"Customweb_SaferpayCw::Validation","Validazione"
"Customweb_SaferpayCw::Version","Versione"
"Customweb_SaferpayCw::View","Visualizza"
"Customweb_SaferpayCw::Visa","Visa"
"Customweb_SaferpayCw::Wait On Success Page","Aspetta sulla pagina di successo"
"Customweb_SaferpayCw::Wallet used","Wallet usato"
"Customweb_SaferpayCw::We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"Customweb_SaferpayCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del Saferpay plugin."
"Customweb_SaferpayCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_SaferpayCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"Customweb_SaferpayCw::Year","Anno"
"Customweb_SaferpayCw::Yes","Si"
"Customweb_SaferpayCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_SaferpayCw::You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"Customweb_SaferpayCw::You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"Customweb_SaferpayCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"Customweb_SaferpayCw::You can define here a CSS URL which is included in the payment page. The CSS can only be used, when it is hosted on a server which has SSL enabled.","Puoi definire qui l'URL del CSS che é incluso nella pagina di pagamento. Il CSS può essere usato solo quando è ospitato su un server con l' SSL attivato."
"Customweb_SaferpayCw::You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","È possibile definire il nome di configurazione della pagina di pagamento. È possibile creare una nuova configurazione nel back-end di Saferpay. Se la configurazione non viene trovata da Saferpay, viene utilizzata la configurazione predefinita."
"Customweb_SaferpayCw::You can enable approval mode for the approval by Billpay","E' possibile attivare la modalità autorizzazione per l'approvazione del BillPay."
"Customweb_SaferpayCw::You can specify the order status for new orders that have an uncertain authorisation status.","E' possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno stato di autorizzazione incerto."
"Customweb_SaferpayCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono registrati subito dopo l'ordine o manualmente nel backend."
"Customweb_SaferpayCw::You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato."
"Customweb_SaferpayCw::You created the order.","Hai creato questo ordine."
"Customweb_SaferpayCw::You have no stored aliases.","Non hai nessun alias memorizzato."
"Customweb_SaferpayCw::You have successfully cancelled the payment.","Hai annullato correttamente il pagamento."
"Customweb_SaferpayCw::You have to agree to the general terms.","Si prega di accettare i termini e condizioni."
"Customweb_SaferpayCw::You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"Customweb_SaferpayCw::You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"Customweb_SaferpayCw::You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Customweb_SaferpayCw::You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"Customweb_SaferpayCw::You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"Customweb_SaferpayCw::You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"Customweb_SaferpayCw::You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"Customweb_SaferpayCw::You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"Customweb_SaferpayCw::You have to enter the IBAN.","Si prega di inserire il codice IBAN."
