"Customweb_SaferpayCw::* Required Fields","* Champs requis"
"Customweb_SaferpayCw::Successful","Succès"
"Customweb_SaferpayCw::Successful online refund of amount","Remboursement en ligne réussie de montant"
"Customweb_SaferpayCw::Successful payment authorization.","Paiement autorisé"
"Customweb_SaferpayCw::Successfull online refund of amount","Remboursement en ligne réussie de montant"
"Customweb_SaferpayCw::Support","Support"
"Customweb_SaferpayCw::Tax Amount","Montant de l'impôt"
"Customweb_SaferpayCw::Technical error, please contact merchant.","Erreur technique, veuillez s'il vous plaît contacter le marchand."
"Customweb_SaferpayCw::Technical error, please try again.","Erreur technique, veuillez s'il vous plaît essayer à nouveau."
"Customweb_SaferpayCw::Technical issue: This payment methods is not available at the moment.","Problème technique: Cette méthode de paiement n'est pas disponible en ce moment."
"Customweb_SaferpayCw::Technical problem, please contact the merchant.","Problème technique, veuillez s'il vous plaît contacter le marchand."
"Customweb_SaferpayCw::Test API password","Mot de passe API test"
"Customweb_SaferpayCw::Test Account ID","Test Account ID"
"Customweb_SaferpayCw::Test Customer ID","Test Customer ID"
"Customweb_SaferpayCw::Test JSON API Password","Mot de passe JSON API test"
"Customweb_SaferpayCw::Test JSON Username","Nom d'utilisateur JSON test"
"Customweb_SaferpayCw::Test MoTo Terminal ID","Terminal ID MoTo test"
"Customweb_SaferpayCw::Test Mode","Mode test"
"Customweb_SaferpayCw::Test Terminal ID","Test Terminal ID"
"Customweb_SaferpayCw::Test Transaction","Transaction de test"
"Customweb_SaferpayCw::Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):","Merci d'avoir choisi l'option BillPay Pay par facture. Veuillez virer le montant dans le délai de paiement sur le compte suivant, en indiquant la référence (@ref):"
"Customweb_SaferpayCw::The 3-D Secure authentication failed.","L'authentification 3-D Secure a échoué."
"Customweb_SaferpayCw::The API password as given by Saferpay for the MoTo Account ID.","Mot de passe donné par Saferpay pour l'ID Moto du compte."
"Customweb_SaferpayCw::The API password as given by Saferpay.","Le mot de passe API et déterminé par Saferpay."
"Customweb_SaferpayCw::The CVC field is required.","Le champ du CVC est obligatoire."
"Customweb_SaferpayCw::The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this.","La clé HMAC tel que défini dans le backoffice de production de Saferpay. Vous devrez peut-être générer la clé HMAC. Veuillez jeter un coup d'oeil sur le manuel pour savoir comment faire cela."
"Customweb_SaferpayCw::The IBAN associated with the bank account the customer should pay into.","L'IBAN associé au compte de banque que le client devrait verser l'argent."
"Customweb_SaferpayCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Le schéma de mandat SEPA ne contient pas le mot-clé '!tag'. Ce mot-clé est obligatoire."
"Customweb_SaferpayCw::The account ID as given by the Saferpay.","L'ID du compte Saferpay. L'ID du compte a le format 12345-12345678."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account id is used for the live environment.","L'ID du compte est donné par Saferpay pour les commandes par email et par téléphone (MoTo) et pour les opérations récurrentes. Cet ID est utilisé pour l'environnement de production."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment.","L'ID du compte proposée par Saferpay pour les commandes par e-mail et téléphone (MoTo). Cet ID est utilisé pour l'environnement de production."
"Customweb_SaferpayCw::The alias could not be found.","L'alias na pas été trouvé."
"Customweb_SaferpayCw::The alias has been deleted.","L'alias a été supprimé."
"Customweb_SaferpayCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Saferpay.","Le alias manager permet au client de sélectionner à partir d'une carte de crédit précédemment stockée. Les données de carte de crédit sont stockées par Saferpay."
"Customweb_SaferpayCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","La transaction alias n'a pas pu être réalisée. Code d'erreur: !code et raison: !reason"
"Customweb_SaferpayCw::The amount could not be verified.","Le montant n'a pas pu être vérifié."
"Customweb_SaferpayCw::The amount of !amount is authorized.","Le montant de !amount est autorisé."
"Customweb_SaferpayCw::The amount of !amount is captured.","Le montant de !amount est capturé."
"Customweb_SaferpayCw::The authorization method '!method' is not supported.","Le mode d'autorisation '!method' n'est pas accepté."
"Customweb_SaferpayCw::The authorization was not successful","Erreur d'autorisation. Autorisation sans succès."
"Customweb_SaferpayCw::The backend of Saferpay allows the definition of payment page configurations. This field contains the name of such a configuraiton name. The configuration allows the detailed control over the layout of the payment page.","Le backend de Saferpay permet la définition de la configuration de la page de paiement. Ce champ contient le nom de cette configuraiton. La configuration permet le contrôle détaillé du template de la page de paiement."
"Customweb_SaferpayCw::The billing and shipping address do not match.","L'adresse de facturation et de livraison ne correspondent pas."
"Customweb_SaferpayCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Le type de la carte de crédit est détecté par le numéro de la carte si une autorisation cachée est utilisé. Si la page de paiement est utilisé, l'utilisateur doit sélectionner la marque. Les marques de cartes de crédit autorisés peuvent être limitées par ce paramètre."
"Customweb_SaferpayCw::The brand with external name '!key' was not present in the map.","La marque avec le nom externe '!key' n'était pas présent dans la carte."
"Customweb_SaferpayCw::The brand with key '!key' was not found in the card information map.","La marque '!key' n'a pas été trouvée dans les marques disponibles."
"Customweb_SaferpayCw::The cancellation could not be conducted. Error code: !error.","L'annulation n'a pas pu être réalisée. Code d'erreur: !error."
"Customweb_SaferpayCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Le montant de comptabilisation (!captureAmount) ne peut pas être supérieur au montant autorisé (!authorizedAmount)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'élément de capture avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'élément d'origine (@amountOriginal)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' is not present in the original order.","L'élément de capture avec SKU '@sku' n'est pas présent dans la commande original."
"Customweb_SaferpayCw::The capturing could not be conducted. Error code: !error.","La capture n'a pas pu être réalisée. Code d'erreur: !error."
"Customweb_SaferpayCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La sélection de la marque de la carte se fait automatiquement à partir du numéro de carte inséré. Si Javascript n'est pas actif dans le navigateur, un menu déroulant apparaît. Si JavaScript est activé, les logos de marques peuvent être affichées. Afficher les logos au lieu du menu déroulant?"
"Customweb_SaferpayCw::The configuration has been saved.","La configuration a été enregistrée."
"Customweb_SaferpayCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Le contrôleur '@controller' ne fournit pas de méthode avec l'annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' et de données valides."
"Customweb_SaferpayCw::The corresponding Saferpay transaction can not be found.","La transaction  Saferpay correspondante est introuvable."
"Customweb_SaferpayCw::The customer cancelled the transaction.","Le client a annulé la transaction."
"Customweb_SaferpayCw::The customer does not finish the payment with in the timeout.","Le client n'a pas fini le paiement dans le délai imparti."
"Customweb_SaferpayCw::The date of birth is required.","La date de naissance doit être indiquée."
"Customweb_SaferpayCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Le format doit être '!format' où le 'MM' veut indiquer le numéro du mois et 'AA' le numéro de l'année."
"Customweb_SaferpayCw::The gender is required.","Le sexe doit être spécifié."
"Customweb_SaferpayCw::The given CVC code has the wrong length.","Le code CVC inséré a une longeur incorecte."
"Customweb_SaferpayCw::The given JSON password is empty. Please check the Saferpay settings.","Le champ mot de passe JSON est vide. Veuillez s'il vous plaît vérifier les paramètres Saferpay."
"Customweb_SaferpayCw::The given JSON username is empty. Please check the Saferpay settings.","Le champ nom d'utilisateur JSON est vide. Veuillez s'il vous plaît vérifier les paramètres Saferpay."
"Customweb_SaferpayCw::The given MoTo account id is empty. Please check the Saferpay settings.","L'ID du compte MoTo est vide. Veuillez vérifier les paramètres de Saferpay."
"Customweb_SaferpayCw::The given MoTo terminal Id is empty. Please check the Saferpay settings.","Le MoTo terminal ID est vide. Veuillez s'il vous plaît vérifier les paramètres Saferpay."
"Customweb_SaferpayCw::The given account id is empty. Please check the Saferpay settings.","L'ID du compte est vide. Veuillez vérifier les paramètres de Saferpay."
"Customweb_SaferpayCw::The given card number has an invalid check sum.","Le numéro de carte donné a une somme de contrôle invalide."
"Customweb_SaferpayCw::The given card number has an invalid length.","Le numéro de carte inséré a une longueur invalide."
"Customweb_SaferpayCw::The given customer Id is empty. Please check the Saferpay settings.","Le Customer ID est vide. Veuillez s'il vous plaît vérifier les paramètres Saferpay."
"Customweb_SaferpayCw::The given hmac key is empty.","La clé HMAC donnée est vide."
"Customweb_SaferpayCw::The given identifier is empty.","L'identificateur donné est vide."
"Customweb_SaferpayCw::The given password is empty.","Le mot de passe donné est vide."
"Customweb_SaferpayCw::The given rang is empty. It must be a nummeric value with length of two.","Le champ 'rang' donné est vide. Il doit être une valeur nummerique avec une longueur de deux."
"Customweb_SaferpayCw::The given rang is invalid. It must be a nummeric value with length of two.","Le champ 'rang' n'est pas valide. Il doit être une valeur numérique avec une longueur de deux."
"Customweb_SaferpayCw::The given site number is empty.","Le nombre de site donné est vide."
"Customweb_SaferpayCw::The given terminal Id is empty. Please check the Saferpay settings.","Le terminal ID est vide. Veuillez s'il vous plaît vérifier les paramètres Saferpay."
"Customweb_SaferpayCw::The identifier as defined in the backoffice of Saferpay.","L'identifiant tel que défini dans le backoffice de Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed by","La facture n'a pas pu être comptabilisée et traitée par Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed. Reason:","La facture n'a pas pu être capturée et traitée. Raison:"
"Customweb_SaferpayCw::The invoice could not be found.","La facture n'a pas été trouvée."
"Customweb_SaferpayCw::The invoice has been changed.","La facture a été changé."
"Customweb_SaferpayCw::The invoice no longer exists.","La facture n'existe plus."
"Customweb_SaferpayCw::The layout does not contain the tag '!layout_tag'.","Le layout ne contient pas le mot-clé '!layout_tag'."
"Customweb_SaferpayCw::The live API password as given by Saferpay.","Le mot de passe API live transmis par Saferpay."
"Customweb_SaferpayCw::The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","Le mot de passe JSON API live peut être défini dans le backend MySaferpay via Administration> API JSON. Pour plus d'informations, consulter notre manuel d'installation."
"Customweb_SaferpayCw::The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","Le nom d'utilisateur JSON API live se trouve dans le backend MySaferpay via Administration> API JSON. Pour plus d'informations, consulter notre manuel d'installation."
"Customweb_SaferpayCw::The live MoTO terminal id as given by the Saferpay.","Le MoTo Terminal ID transmis par Saferpay."
"Customweb_SaferpayCw::The live MoTo terminal id as given by the Saferpay.","The live MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The live account ID as given by the Saferpay.","L'account ID live transmis par le Saferpay."
"Customweb_SaferpayCw::The live customer id can be found in the MySaferpay backend on the top right corner (without the e and the last 3 digits). For more information consult our set up manual.","Le Customer ID live se trouve dans le backend MySaferpay en haut à droite de la page (doit être configuré sans le e et sans les 3 derniers chiffres). Pour plus d'informations, consulter notre manuel."
"Customweb_SaferpayCw::The live terminal id can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual. id as given by the Saferpay.","Le Terminal ID live se trouve dans le backend MySaferpay via Transactions> Paiement. Il se compose d'un numéro à huit chiffres et se trouve en haut à gauche. Pour d' informations, consulter notre manuel d'installation."
"Customweb_SaferpayCw::The name of the merchant which should be displayed on the mandate.","Le nom du marchand qui doit figurer sur le mandat."
"Customweb_SaferpayCw::The next update execution date indicates when the next cron is run to update the transaction state.","La prochaine date d'exécution de mise à jour indique lorsque le cron suivant sera exécuté pour mettre à jour l'état de la transaction."
"Customweb_SaferpayCw::The number of days by which the payment period should be extended in addition to standard 20 or 30 days.","Nombre de jours par lequel le délai de paiement devrait être étendu, en plus de la norme de 20 ou 30 jours."
"Customweb_SaferpayCw::The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","La description de la commande est indiquée au client sur la page de paiement. La description devrait décrire les produits qui sont vendus."
"Customweb_SaferpayCw::The order is not fully completed. Please contact the store owner.","Le paiement ne peut être effectué."
"Customweb_SaferpayCw::The payment could not be processed.","Le paiement n'a pas pu être traité."
"Customweb_SaferpayCw::The payment failed because either the card number, the CVC or the expiry date was invalid.","Le paiement a échoué, soit parce que le numéro de carte, le CVC ou la date d'expiration n'est pas valide."
"Customweb_SaferpayCw::The payment failed.","Le paiement a échoué."
"Customweb_SaferpayCw::The payment form will be displayed after submitting the order.","La forme de paiement sera affichée après avoir confirmé la commande."
"Customweb_SaferpayCw::The payment has been accepted.","Le paiement a été accepté"
"Customweb_SaferpayCw::The payment has been denied.","Le paiement a été refusé."
"Customweb_SaferpayCw::The payment method !paymentMethodName does not support the currency '!currency'.","La méthode de paiement !paymentMethodName ne supporte pas la devise '!currency'."
"Customweb_SaferpayCw::The payment method !paymentMethodName is not available in your country ('!country').","La méthode de paiement !paymentMethodName n'est pas disponible dans votre pays ('!country')."
"Customweb_SaferpayCw::The payment update has been made.","La mise à jour de paiement a été effectué."
"Customweb_SaferpayCw::The provided signature does not match with the one calculated.","La signature fournie ne correspond pas à celle calculée."
"Customweb_SaferpayCw::The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Le champ 'rang' (PBX_RANG) tel que défini dans le backoffice de production de Saferpay. Il doit être nummeric avec deux caractères de long. Dans le backoffice il peut être affiché comme trois caractères. Vous devez tronquer le premier chiffre."
"Customweb_SaferpayCw::The refund could not be captured.","Le remboursement n'a pas pu être comptabilisé"
"Customweb_SaferpayCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'article de remboursement avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'article d'origine (@amountOriginal)."
"Customweb_SaferpayCw::The refund item with SKU '@sku' is not present in the original order.","L'article de remboursement avec SKU '@sku' n'est pas présent dans la commande originale."
"Customweb_SaferpayCw::The refunding could not be conducted. Error code: !error.","Le remboursement n'a pas pu être réalisé. Code d'erreur: !error."
"Customweb_SaferpayCw::The shopping cart has been altered!","Le panier a été changé!"
"Customweb_SaferpayCw::The signature could not be verified.","La signature ne peut pas être vérifiée."
"Customweb_SaferpayCw::The site id (PBX_RANG) as defined in the backoffice of Saferpay.","L'identifiant du site (PBX_RANG) tel que défini dans le backoffice de Saferpay."
"Customweb_SaferpayCw::The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk","Le mot de passe API test transmis par Saferpay. Mot de passe générique test : 8e7Yn5yk"
"Customweb_SaferpayCw::The test JSON API password as given by Saferpay.","Le mot de passe JSON API test transmis par Saferpay."
"Customweb_SaferpayCw::The test JSON username given by the Saferpay.","Le nom d'utilisateur JSON test transmis par Saferpay."
"Customweb_SaferpayCw::The test MoTO terminal id as given by the Saferpay.","Le Terminal ID MoTo test transmis par Saferpay."
"Customweb_SaferpayCw::The test MoTo terminal id as given by the Saferpay.","The test MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The test account ID as given by the Saferpay. Generic test account: 401860-17795278","L'Account ID test transmis par Saferpay. Compte test générique:  401860-17795278"
"Customweb_SaferpayCw::The test customer id as given by the Saferpay.","Le Customer ID test  transmis par Saferpay."
"Customweb_SaferpayCw::The test terminal id as given by the Saferpay.","Le Terminal ID test transmis par Saferpay."
"Customweb_SaferpayCw::The total amount of the transaction was captured.","Le montant total de la transaction a été capturé."
"Customweb_SaferpayCw::The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' .","Le montant total de la transaction a été remboursé. ID de la transaction de remboursement: 'paymentId!'."
"Customweb_SaferpayCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Le montant total du remboursement (!totalRefundedAmount) ne peut pas être supérieur à la quantité capturée (!capturedAmount)."
"Customweb_SaferpayCw::The transaction cannot be cancelled online.","La transaction ne peut être annulée en ligne."
"Customweb_SaferpayCw::The transaction cannot be captured online.","La transaction ne peut être capturée en ligne"
"Customweb_SaferpayCw::The transaction cannot be refunded online.","La transaction ne peut être remboursé en ligne."
"Customweb_SaferpayCw::The transaction could not be captured.","La transaction n'a pas pû être comptabilisé."
"Customweb_SaferpayCw::The transaction failed with error code !code.","L'opération a échoué avec le code d'erreur: !code."
"Customweb_SaferpayCw::The transaction is only executed in the test system. The goods should not be delivered.","La transaction a est exécutée uniquement dans le système de test. Les produits ne doivent pas être livrés."
"Customweb_SaferpayCw::The uncertain transaction was accepted.","La transaction non garantie a été acceptée."
"Customweb_SaferpayCw::The uncertain transaction was finally declined.","La transaction non garantie a finalement été rejetée."
"Customweb_SaferpayCw::The whole transaction is cancelled.","Toute la transaction a été annulée."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment.","Il y a eu un problème lors du traitement de votre paiement."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Il ya eu un problème lors du traitement de votre paiement. Veuillez contacter le propriétaire de la boutique pour vous assurer que votre commande a été placée avec succès."
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Il y a un problème avec votre licence. S'il vous plaît nous (www.sellxed.com/support) contacter. Raison: %1"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","Il y a un problème avec votre licence. S'il vous plaît contactez-nous (www.sellxed.com/support). Raison: %s"
"Customweb_SaferpayCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Il y a déjà un client enregistré avec cette adresse e-mail. Connectez-vous à l'aide de cette adresse ou insérez une adresse e-mail différente pour l'enregistrer votre compte."
"Customweb_SaferpayCw::There seems to be a problem with the Saferpay module.","Il semble avoir un problème avec le module de Saferpay."
"Customweb_SaferpayCw::There was an error validating the login and password.","ll y eu une erreur pendant la validation du login et du mot de passe."
"Customweb_SaferpayCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%s"">Cliquez ici</a> pour renvoyer l'email de confirmation."
"Customweb_SaferpayCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account.","Ce mot de passe est utilisé pour les paiements récurrents et pour la gestion des alias, ainsi que pour l'autorisation du serveur. C'est le mot de passe du compte Saferpay."
"Customweb_SaferpayCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Ce setting peut être utilisé pour activer ou désactiver le contrôle 3D Secure. Veuillez vérifier avec PayBox si vous êtes autorisé à désactiver le contrôle 3D Secure. Ce paramètre aura seulement un effet que si vous utilisez la page de paiement."
"Customweb_SaferpayCw::This setting enables the restriction of the allowed brands.","Ce paramètre permet la restriction des marques autorisées."
"Customweb_SaferpayCw::This status is set, when the payment was successfull and it is authorized.","Cet état est défini, lorsque le paiement a été un succès et il est autorisé."
"Customweb_SaferpayCw::This transaction is already closed for further captures.","Cette transaction a déjà été fermée pour plus de comptabilisations."
"Customweb_SaferpayCw::This transaction is already closed for further refunds.","Cette transaction a déjà été fermée pour d'autres remboursements."
"Customweb_SaferpayCw::This transaction no longer exists.","Cette transaction n'existe plus."
"Customweb_SaferpayCw::Timeout for pending payments (min)","Timout pour les paiements en attente (min.)"
"Customweb_SaferpayCw::Titel","Titre"
"Customweb_SaferpayCw::Title","Titre"
"Customweb_SaferpayCw::Title of the payment method","Nom de la méthode de paiement"
"Customweb_SaferpayCw::Total","Total"
"Customweb_SaferpayCw::Total Shipping Charges","Total des frais d'expédition"
"Customweb_SaferpayCw::Track order history","Suivi de la commande"
"Customweb_SaferpayCw::Transaction","Transaction"
"Customweb_SaferpayCw::Transaction Authorized","Transaction autorisée"
"Customweb_SaferpayCw::Transaction Cancelled","Transaction annulée"
"Customweb_SaferpayCw::Transaction Captured","Transaction comptabilisée"
"Customweb_SaferpayCw::Transaction History","Relevé des opérations"
"Customweb_SaferpayCw::Transaction Id","Transaction ID"
"Customweb_SaferpayCw::Transaction Paid","Transacion payée"
"Customweb_SaferpayCw::Transaction Uncertain","La transaction est incertaine"
"Customweb_SaferpayCw::Transaction Updates","Mises à jour pour les transactions"
"Customweb_SaferpayCw::Transaction aborted","Transaction interrompue."
"Customweb_SaferpayCw::Transaction aborted by the customer.","Transaction interrompue par le client."
"Customweb_SaferpayCw::Transaction blocked by risk management.","Transaction bloquée par la Gestion des Risques."
"Customweb_SaferpayCw::Transaction cancelled","Transaction annulée"
"Customweb_SaferpayCw::Transaction cancelled by the customer.","Transaction annulée par le client."
"Customweb_SaferpayCw::Transaction cancelled successfully","La transaction a été annulée"
"Customweb_SaferpayCw::Transaction captured successfully","Transaction capturé avec succès"
"Customweb_SaferpayCw::Transaction could not be canceled.","La transaction n'a pas pu être annulée."
"Customweb_SaferpayCw::Transaction declined.","Transaction refusée."
"Customweb_SaferpayCw::Transaction history","Historique de transactions"
"Customweb_SaferpayCw::Transaction in wrong state.","Transaction avec le mauvais statut."
"Customweb_SaferpayCw::Transaction not found.","Transaction introuvable."
"Customweb_SaferpayCw::Transaction not started by the customer.","La transaction n'a pas commencée par le client."
"Customweb_SaferpayCw::Transaction was authorized over the deferred authorization mechanism.","L'opération a été autorisée avec le mécanisme d'autorisation différé."
"Customweb_SaferpayCw::Transactions","Transactions"
"Customweb_SaferpayCw::Unable to resolve card type id '@id' to a payment method name.","Impossible de résoudre l'ID du type de carte '@id' à un nom de méthode de paiement."
"Customweb_SaferpayCw::Unable to resolve payment method id '@id' to a payment method name.","Impossible de résoudre l'ID du mode de paiement '@id' pour un nom de mode de paiement."
"Customweb_SaferpayCw::Unable to save the invoice.","Impossible d'enregistrer la facture."
"Customweb_SaferpayCw::Uncertain Status","Statut incertain"
"Customweb_SaferpayCw::Uncertain transactions","Transactions incertaines"
"Customweb_SaferpayCw::Unknown alias or already used.","Unknown alias or already used."
"Customweb_SaferpayCw::Unkown alias or already used.","Alias inconnu ou déjà utilisé."
"Customweb_SaferpayCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Si vous ne cochez pas cette case, le paiement sera capturé au PSP et vous ne pourrez pas ajouter de captures supplémentaires."
"Customweb_SaferpayCw::Update","Mettre à jour"
"Customweb_SaferpayCw::Update Qty's","Ajuster la quantité"
"Customweb_SaferpayCw::Update interval for payments","Interval de l'actualisation pour paiements via API"
"Customweb_SaferpayCw::Use Base Currency","Utiliser devise de base"
"Customweb_SaferpayCw::Use CVC for card verification (recommended)","Utiliser CVC pour la vérification de la carte (recommandé)"
"Customweb_SaferpayCw::Use Default","Utilisez les paramètres standard"
"Customweb_SaferpayCw::Use MoTo Account for Alias Transactions","Utiliser compte MoTo pour les transactions Alias"
"Customweb_SaferpayCw::Use MoTo account","Utiliser le compte moto"
"Customweb_SaferpayCw::Use base currency","Utiliser la devise de base"
"Customweb_SaferpayCw::Use normal account (recommended)","Utiliser le compte normal (recommandé)"
"Customweb_SaferpayCw::Use shipping address","Utiliser l'adresse de livraison"
"Customweb_SaferpayCw::Use the MoTo Account for recurring payments using a stored alias. In this way no 3D Secure verification is performed","Utiliser le compte MoTo pour les paiements récurrents utilisant un alias stocké. De cette manière, aucune vérification 3D Secure sera effectuée."
"Customweb_SaferpayCw::V Pay","V Pay"
"Customweb_SaferpayCw::VISA","VISA"
"Customweb_SaferpayCw::Validation","Valider"
"Customweb_SaferpayCw::Version","Version"
"Customweb_SaferpayCw::View","Afficher"
"Customweb_SaferpayCw::Visa","VISA"
"Customweb_SaferpayCw::Wait On Success Page","Attendre sur la page de la réussite"
"Customweb_SaferpayCw::Wallet used","Wallet utilisé"
"Customweb_SaferpayCw::We cannot get the transaction instance.","Nous ne pouvons pas établir une transaction."
"Customweb_SaferpayCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Il y a un problème avec votre module de paiement sellxed. Pour plus d'informations, veuillez visiter la page d'informations du plugin."
"Customweb_SaferpayCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Lorsque la boutique n'est pas disponible (panne de réseau, une panne de serveur ou de toute autre panne), après le retour de Saferpay envoyé,  le statut de la transaction ne sera pas mis à jour. Par conséquent, aucune confirmation de commande sera envoyé par e-mail et la commande n'aura pas le statut payé. En activant la mise à jour de la transaction, ces opérations peuvent être autorisées plus tard sur la liaison directe. Pour utiliser cette fonction, le service de mise à jour doit être activé et le nom d'utilisateur de l'API et le mot de passe de l'API doit être aussi configuré."
"Customweb_SaferpayCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Lorsque vous utilisez une commande externe, le client peut soit sélectionner une option d'authentification (en tant qu'invité, inscription ou login) ou il peut toujours être vérifié en tant qu'invité. Pour la deuxième option, guest checkout doit être activé chez Magento."
"Customweb_SaferpayCw::Year","Année"
"Customweb_SaferpayCw::Yes","Oui"
"Customweb_SaferpayCw::Yes, use images for the brand selection.","Oui, utiliser des images pour la sélection du type."
"Customweb_SaferpayCw::You can allow the customers to manage/delete their aliases in the their account.","Vous pouvez permettre aux clients de gérer / supprimer leurs alias dans leur compte."
"Customweb_SaferpayCw::You can decide on the order status new orders should have after they are processed successfully.","Spécifiez le statut de la commande pour les nouvelles commandes qui ont été traitées avec succès."
"Customweb_SaferpayCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Spécifiez le statut de la commande pour les nouvelles commandes avec un statut d'autorisation incertain."
"Customweb_SaferpayCw::You can define here a CSS URL which is included in the payment page. The CSS can only be used, when it is hosted on a server which has SSL enabled.","Vous pouvez définir une URL de CSS qui est inclus dans la page de paiement. Le CSS ne peut seulement être utilisé si il est hébergé sur un serveur qui a un certificat SSL."
"Customweb_SaferpayCw::You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","Vous avez la possibilité de définir le nom de configuration de la page de paiement. Vous pouvez créer de nouvelles configurations dans le backend Saferpay. Si Saferpay ne trouve pas de configuration, celle par défaut est utilisée."
"Customweb_SaferpayCw::You can enable approval mode for the approval by Billpay","Vous pouvez activer le Approval Mode pour l'approbation par Billpay."
"Customweb_SaferpayCw::You can specify the order status for new orders that have an uncertain authorisation status.","Vous pouvez spécifier le statut de la commande pour les nouvelles commandes qui ont un statut d'autorisation incertain."
"Customweb_SaferpayCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont capturés soit directement après la commande ou manuellement depuis le backend."
"Customweb_SaferpayCw::You can specify the order status when an order is cancelled.","Vous pouvez spécifier le statut de la commande quand une commande est annulée."
"Customweb_SaferpayCw::You created the order.","Vous avez créé la commande."
"Customweb_SaferpayCw::You have no stored aliases.","Vous n'avez pas d'alias."
"Customweb_SaferpayCw::You have successfully cancelled the payment.","Votre paiement a été annulé."
