"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::The given CVC code has the wrong length.","The given CVC code has the wrong length."
"Customweb_SaferpayCw::The given JSON password is empty. Please check the Saferpay settings.","The given JSON password is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given JSON username is empty. Please check the Saferpay settings.","The given JSON username is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given MoTo account id is empty. Please check the Saferpay settings.","The given MoTo Account ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given MoTo terminal Id is empty. Please check the Saferpay settings.","The given MoTo terminal ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given account id is empty. Please check the Saferpay settings.","The given Account ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given card number has an invalid check sum.","The given card number has an invalid check sum."
"Customweb_SaferpayCw::The given card number has an invalid length.","The given card number has an invalid length."
"Customweb_SaferpayCw::The given customer Id is empty. Please check the Saferpay settings.","The given customer ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given hmac key is empty.","No HMAC key entered."
"Customweb_SaferpayCw::The given identifier is empty.","The given identifier is empty."
"Customweb_SaferpayCw::The given password is empty.","No password entered."
"Customweb_SaferpayCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a numeric value with length of two."
"Customweb_SaferpayCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a numeric value with length of two."
"Customweb_SaferpayCw::The given site number is empty.","The given site number is empty."
"Customweb_SaferpayCw::The given terminal Id is empty. Please check the Saferpay settings.","The given terminal ID is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The identifier as defined in the backoffice of Saferpay.","The identifier as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed by","The invoice could not be captured and processed by Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed. Reason:","The invoice could not be captured and processed. Reason: !reason"
"Customweb_SaferpayCw::The invoice could not be found.","The invoice could not be found."
"Customweb_SaferpayCw::The invoice has been changed.","The invoice has been changed."
"Customweb_SaferpayCw::The invoice no longer exists.","The invoice no longer exists."
"Customweb_SaferpayCw::The layout does not contain the tag '!layout_tag'.","The layout does not contain the tag '!layout_tag'."
"Customweb_SaferpayCw::The live API password as given by Saferpay.","The live API password as given by Saferpay."
"Customweb_SaferpayCw::The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual."
"Customweb_SaferpayCw::The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual."
"Customweb_SaferpayCw::The live MoTO terminal id as given by the Saferpay.","The live MoTO terminal ID as given by the Saferpay."
"Customweb_SaferpayCw::The live MoTo terminal id as given by the Saferpay.","The live MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The live account ID as given by the Saferpay.","The live account ID as given by the Saferpay."
"Customweb_SaferpayCw::The live customer id can be found in the MySaferpay backend on the top right corner (without the e and the last 3 digits). For more information consult our set up manual.","The live customer id can be found in the MySaferpay backend on the top right corner (without the e or the last 3 digits). For more information consult our set up manual."
"Customweb_SaferpayCw::The live terminal id can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual. id as given by the Saferpay.","The live terminal ID can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual."
"Customweb_SaferpayCw::The name of the merchant which should be displayed on the mandate.","The name of the merchant which should be displayed on the mandate."
"Customweb_SaferpayCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_SaferpayCw::The number of days by which the payment period should be extended in addition to standard 20 or 30 days.","The number of days by which the payment period should be extended in addition to the standard 20 or 30 days."
"Customweb_SaferpayCw::The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","The order description is displayed on the payment page and describes the purchased products."
"Customweb_SaferpayCw::The order is not fully completed. Please contact the store owner.","The payment could not be conducted."
"Customweb_SaferpayCw::The payment could not be processed.","The payment could not be processed."
"Customweb_SaferpayCw::The payment failed because either the card number, the CVC or the expiry date was invalid.","The payment failed because either the card number, the CVC or the expiry date was invalid."
"Customweb_SaferpayCw::The payment failed.","The payment has failed."
"Customweb_SaferpayCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_SaferpayCw::The payment has been accepted.","The payment has been accepted."
"Customweb_SaferpayCw::The payment has been denied.","The payment has been denied."
"Customweb_SaferpayCw::The payment method !paymentMethodName does not support the currency '!currency'.","The payment method !paymentMethodName does not support the currency '!currency'."
"Customweb_SaferpayCw::The payment method !paymentMethodName is not available in your country ('!country').","The payment method !paymentMethodName is not available in your country ('!country')."
"Customweb_SaferpayCw::The payment update has been made.","The payment update has been completed."
"Customweb_SaferpayCw::The provided signature does not match with the one calculated.","The provided signature does not match the one calculated."
"Customweb_SaferpayCw::The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the back office it may be displayed as a three char value. You must truncate the first digit."
"Customweb_SaferpayCw::The refund could not be captured.","The refund could not be captured"
"Customweb_SaferpayCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_SaferpayCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_SaferpayCw::The refunding could not be conducted. Error code: !error.","The refund could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_SaferpayCw::The signature could not be verified.","The signature could not be verified."
"Customweb_SaferpayCw::The site id (PBX_RANG) as defined in the backoffice of Saferpay.","The Site ID (PBX_RANG) as defined in the back office of Saferpay."
"Customweb_SaferpayCw::The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk","The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk"
"Customweb_SaferpayCw::The test JSON API password as given by Saferpay.","The test JSON API password as given by Saferpay."
"Customweb_SaferpayCw::The test JSON username given by the Saferpay.","The test JSON username given by the Saferpay."
"Customweb_SaferpayCw::The test MoTO terminal id as given by the Saferpay.","The test MoTO terminal ID as given by the Saferpay."
"Customweb_SaferpayCw::The test MoTo terminal id as given by the Saferpay.","The test MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The test account ID as given by the Saferpay. Generic test account: 401860-17795278","The test account ID as given by the Saferpay. Generic test account: 401860-17795278"
"Customweb_SaferpayCw::The test customer id as given by the Saferpay.","The test customer ID as given by the Saferpay."
"Customweb_SaferpayCw::The test terminal id as given by the Saferpay.","The test terminal ID as given by the Saferpay."
"Customweb_SaferpayCw::The total amount of the transaction was captured.","The total amount of the transaction was captured"
"Customweb_SaferpayCw::The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' .","The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' ."
"Customweb_SaferpayCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount)."
"Customweb_SaferpayCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_SaferpayCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_SaferpayCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_SaferpayCw::The transaction could not be captured.","Transaction could not be captured."
"Customweb_SaferpayCw::The transaction failed with error code !code.","The transaction failed with error code: !code"
"Customweb_SaferpayCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_SaferpayCw::The uncertain transaction was accepted.","The uncertain transaction was accepted."
"Customweb_SaferpayCw::The uncertain transaction was finally declined.","The uncertain transaction was finally declined."
"Customweb_SaferpayCw::The whole transaction is cancelled.","The entire transaction has been cancelled."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully."
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_SaferpayCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_SaferpayCw::There seems to be a problem with the Saferpay module.","There seems to be a problem with the Saferpay module."
"Customweb_SaferpayCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_SaferpayCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend the confirmation email."
"Customweb_SaferpayCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account."
"Customweb_SaferpayCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate/deactivate the 3D Secure check. Please check with PayBox if you are allowed to deactivate the 3D Secure check. This setting only has an effect if you use the payment page."
"Customweb_SaferpayCw::This setting enables the restriction of the allowed brands.","This setting enables the restriction of allowed brands."
"Customweb_SaferpayCw::This status is set, when the payment was successfull and it is authorized.","This status is set when the payment was successful and it is authorised."
"Customweb_SaferpayCw::This transaction is already closed for further captures.","This transaction is already closed for further captures"
"Customweb_SaferpayCw::This transaction is already closed for further refunds.","This transaction has been closed for further refunds."
"Customweb_SaferpayCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_SaferpayCw::Timeout for pending payments (min)","Time-out for pending payments (in min)."
"Customweb_SaferpayCw::Titel","Title"
"Customweb_SaferpayCw::Title","Title"
"Customweb_SaferpayCw::Title of the payment method","Name of the payment method"
"Customweb_SaferpayCw::Total","Total"
"Customweb_SaferpayCw::Total Shipping Charges","Total shipping charges"
"Customweb_SaferpayCw::Track order history","Track order history"
"Customweb_SaferpayCw::Transaction","Transaction"
"Customweb_SaferpayCw::Transaction Authorized","Transaction authorised"
"Customweb_SaferpayCw::Transaction Cancelled","Transaction cancelled"
"Customweb_SaferpayCw::Transaction Captured","Transaction captured"
"Customweb_SaferpayCw::Transaction History","Transaction History"
"Customweb_SaferpayCw::Transaction Id","Transaction ID"
"Customweb_SaferpayCw::Transaction Paid","Transaction paid"
"Customweb_SaferpayCw::Transaction Uncertain","Transaction uncertain"
"Customweb_SaferpayCw::Transaction Updates","Transaction Updates"
"Customweb_SaferpayCw::Transaction aborted","Transaction aborted"
"Customweb_SaferpayCw::Transaction aborted by the customer.","Transaction aborted by the customer."
"Customweb_SaferpayCw::Transaction blocked by risk management.","Transaction blocked by risk management."
"Customweb_SaferpayCw::Transaction cancelled","Transaction cancelled"
"Customweb_SaferpayCw::Transaction cancelled by the customer.","Transaction cancelled by the customer."
"Customweb_SaferpayCw::Transaction cancelled successfully","Transaction cancelled successfully"
"Customweb_SaferpayCw::Transaction captured successfully","Transaction captured successfully"
"Customweb_SaferpayCw::Transaction could not be canceled.","Transaction could not be cancelled"
"Customweb_SaferpayCw::Transaction declined.","Transaction declined."
"Customweb_SaferpayCw::Transaction history","Transaction History"
"Customweb_SaferpayCw::Transaction in wrong state.","Transaction in wrong state."
"Customweb_SaferpayCw::Transaction not found.","Transaction not found."
"Customweb_SaferpayCw::Transaction not started by the customer.","Transaction not started by the customer."
"Customweb_SaferpayCw::Transaction was authorized over the deferred authorization mechanism.","Transaction was authorized over the deferred authorization mechanism."
"Customweb_SaferpayCw::Transactions","Transactions"
"Customweb_SaferpayCw::Unable to resolve card type id '@id' to a payment method name.","Unable to resolve card type id '@id' to a payment method name."
"Customweb_SaferpayCw::Unable to resolve payment method id '@id' to a payment method name.","Unable to resolve payment method id '@id' to a payment method name."
"Customweb_SaferpayCw::Unable to save the invoice.","Unable to save the invoice."
"Customweb_SaferpayCw::Uncertain Status","Uncertain status"
"Customweb_SaferpayCw::Uncertain transactions","Uncertain transactions"
"Customweb_SaferpayCw::Unknown alias or already used.","Unknown alias or already used."
"Customweb_SaferpayCw::Unkown alias or already used.","Unknown alias or already used."
"Customweb_SaferpayCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_SaferpayCw::Update","Update"
"Customweb_SaferpayCw::Update Qty's","Adjust Quantity"
"Customweb_SaferpayCw::Update interval for payments","Update interval for payments"
"Customweb_SaferpayCw::Use Base Currency","Use Base Currency"
"Customweb_SaferpayCw::Use CVC for card verification (recommended)","Use CVC for card verification (recommended)"
"Customweb_SaferpayCw::Use Default","Use Default"
"Customweb_SaferpayCw::Use MoTo Account for Alias Transactions","Use MoTo account for alias transactions"
"Customweb_SaferpayCw::Use MoTo account","Use MoTo account"
"Customweb_SaferpayCw::Use base currency","Use base currency"
"Customweb_SaferpayCw::Use normal account (recommended)","Use normal account (recommended)"
"Customweb_SaferpayCw::Use shipping address","Use shipping address"
"Customweb_SaferpayCw::Use the MoTo Account for recurring payments using a stored alias. In this way no 3D Secure verification is performed","Use the MoTo account for recurring payments using a stored alias. In this way no 3-D Secure verification is performed."
"Customweb_SaferpayCw::V Pay","V Pay"
"Customweb_SaferpayCw::VISA","VISA"
"Customweb_SaferpayCw::Validation","Validation"
"Customweb_SaferpayCw::Version","Version"
"Customweb_SaferpayCw::View","View"
"Customweb_SaferpayCw::Visa","VISA"
"Customweb_SaferpayCw::Wait On Success Page","Wait On Success Page"
"Customweb_SaferpayCw::Wallet used","Wallet used"
"Customweb_SaferpayCw::We cannot get the transaction instance.","We can not establish a transaction."
"Customweb_SaferpayCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the Saferpay plugin."
"Customweb_SaferpayCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_SaferpayCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to choose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in Magento."
"Customweb_SaferpayCw::Year","Year"
"Customweb_SaferpayCw::Yes","Yes"
"Customweb_SaferpayCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_SaferpayCw::You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in their account."
"Customweb_SaferpayCw::You can decide on the order status new orders should have after they are processed successfully.","You can specify the order status for new orders that have been processed successfully."
"Customweb_SaferpayCw::You can decide on the order status new orders should have that have an uncertain authorization status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_SaferpayCw::You can define here a CSS URL which is included in the payment page. The CSS can only be used, when it is hosted on a server which has SSL enabled.","You can define a CSS URL which is included in the payment page. The CSS can only be used if it is hosted on a server which has SSL enabled."
"Customweb_SaferpayCw::You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the paymentpage configuration name. You can create new configurations in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can enable approval mode for the approval by Billpay","You can enable approval mode for the approval by BillPay."
"Customweb_SaferpayCw::You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_SaferpayCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the back-end."
"Customweb_SaferpayCw::You can specify the order status when an order is cancelled.","You can specify the order status for cancelled orders."
"Customweb_SaferpayCw::You created the order.","You created the order."
"Customweb_SaferpayCw::You have no stored aliases.","You have no stored aliases."
"Customweb_SaferpayCw::You have successfully cancelled the payment.","You have successfully cancelled the payment."
"Customweb_SaferpayCw::You have to agree to the general terms.","You have to agree to the General Terms of Agreement"
"Customweb_SaferpayCw::You have to enter a card number.","You have to enter a card number."
"Customweb_SaferpayCw::You have to enter bank code of your bank.","Enter your bank's bank code."
"Customweb_SaferpayCw::You have to enter commercial number of you company.","Please enter the commercial number of your company."
"Customweb_SaferpayCw::You have to enter either the CVC code or the issue number of your card.","You have to enter either the CVC code or the issue number of your card."
"Customweb_SaferpayCw::You have to enter sales tax number of you company.","You have to enter sales tax number of you company."
"Customweb_SaferpayCw::You have to enter sales tax number of your company.","Please enter your company's sales tax number."
"Customweb_SaferpayCw::You have to enter the BIC.","You have to enter the BIC of your bank."
"Customweb_SaferpayCw::You have to enter the CVC code from your card.","Enter the CVC code from your card"
"Customweb_SaferpayCw::You have to enter the IBAN.","You have to enter your IBAN number."
"Customweb_SaferpayCw::You have to enter the account holder name on the card.","You have to enter the account holder name on the card."
"Customweb_SaferpayCw::You have to enter the account holder name.","You have to enter the account holder name."
"Customweb_SaferpayCw::You have to enter the card holder name on the card.","You have to enter the card holder name."
"Customweb_SaferpayCw::You have to enter the location of your bank.","Please enter the location of your bank."
"Customweb_SaferpayCw::You have to enter the name of the account owner.","Please enter the name of the account owner"
"Customweb_SaferpayCw::You have to enter the name of your bank.","You have to enter the name of your bank."
"Customweb_SaferpayCw::You have to enter your IBAN Number.","You have to enter your IBAN number."
"Customweb_SaferpayCw::You have to enter your bank account number.","Please enter here the International Bank Account Number (IBAN)."
"Customweb_SaferpayCw::You have to enter your social security number.","Please enter your social security number."
"Customweb_SaferpayCw::You may choose one of the cards you paid before on this site.","You may choose from one of the cards previously used on this site."
"Customweb_SaferpayCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_SaferpayCw::You will be redirect to the order confirmation page.","You will be redirected to the order confirmation page."
"Customweb_SaferpayCw::Your 3ds check failed.","Your 3ds check failed."
"Customweb_SaferpayCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page."
"Customweb_SaferpayCw::Your card is expired.","Your card has expired."
"Customweb_SaferpayCw::Your checkout session expired.","Your checkout session expired."
"Customweb_SaferpayCw::Your order description","Order Description"
"Customweb_SaferpayCw::SaferpayCw Aliases","SaferpayCw Aliases"
"Customweb_SaferpayCw::SaferpayCw authorization responded with : !result '!authmessage'","SaferpayCw authorization responded with : !result '!authmessage'"
"Customweb_SaferpayCw::SaferpayCw response verification failed. Manipulation possible. Reason: !message","SaferpayCw response verification failed. Manipulation possible. Reason: !message"
"Customweb_SaferpayCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_SaferpayCw::Saferpay","Saferpay"
"Customweb_SaferpayCw::Saferpay API password","Saferpay API password"
"Customweb_SaferpayCw::Saferpay Aliases","Saferpay Aliases"
"Customweb_SaferpayCw::Saferpay Error","Saferpay Error"
"Customweb_SaferpayCw::Saferpay MoTo API password","Saferpay MoTo API password"
"Customweb_SaferpayCw::Saferpay MoTo account ID","Saferpay MoTo account ID"
"Customweb_SaferpayCw::Saferpay Parameters","Saferpay Parameters"
"Customweb_SaferpayCw::Saferpay Refund Items","Saferpay Refund Items"
"Customweb_SaferpayCw::Saferpay Section","Saferpay Section"
"Customweb_SaferpayCw::Saferpay Transactions","Saferpay Transactions"
"Customweb_SaferpayCw::Saferpay account ID","Saferpay Account ID"
"Customweb_SaferpayCw::Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)","Saferpay will send an email to this address, whenever a payment is succesfully authorized. (Available only for payments where the customer is redirected to Saferpay.)"
"Customweb_SaferpayCw::Saferpay: Alias Management","Saferpay: Alias Management"
"Customweb_SaferpayCw::customweb ltd","customweb ltd"
"Customweb_SaferpayCw::no","No"
"Customweb_SaferpayCw::or","or"
"Customweb_SaferpayCw::yes","Yes"
